,Name,Price_for_two,Cuisines,Address,Maps_Link,Pincode,latitude,longitude,Reviews,Votes,Rating,Facilities,Company_Phone,Restaurant_Phone,Menu_Links,Menu_Labels,Bestselling_Items,Restaurant_Type
0,The Palm Burj,"2,200 ","['North Indian', 'Asian', 'Continental']","6, The Mall Road Rakabganj Near Asha School - Ray of Hope Central Agra 282001","https://maps.google.com/?q=27.164202,78.014635",282001,27° 9' 51.1272'' N,78° 0' 52.6860'' E,No Reviews,1 Votes ,4.3,"['Air Conditioned', 'Home Delivery', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Outdoor Seating', 'Roof Top', 'Wallet Accepted']",+91 9212340202,09639003001,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/o/v/m97433-163896229261b09474103fb.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/s/n/m97433-163896229861b0947acb285.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/a/p/m97433-163896230661b094821ae65.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/j/t/m97433-163896231461b0948a342a2.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/m/w/m97433-163896232061b09490f1af4.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/q/z/m97433-163896232761b09497acb4c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/r/x/m97433-163896233461b0949e8e08e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/w/w/m97433-163896234161b094a55241b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/b/h/m97433-163896234861b094ac168ce.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/q/v/m97433-163896235461b094b2c65f7.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/j/u/m97433-1633604646615ed4265b6b8.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/f/y/m97433-1633604653615ed42daed9e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/o/n/m97433-1633604660615ed434de489.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/s/e/m97433-1633604668615ed43c6e7c4.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/u/r/m97433-1633604675615ed44352c52.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/w/t/m97433-1633604682615ed44a184c4.jpg?tr=tr:n-xlarge']","['Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu']","Kadhai Chicken, Chicken Rara, Bhuna Meat, Vegetable Thai Curry, Paneer in Schezwan Sauce, Prawns Thai Curry.","Casual Dining, Nightlife, Nightlife"
0,Downtown Cafe,"1,900 ","['North Indian', 'Chinese', 'Finger Food']","Hotel Moti Palace, Dhakran Crossing, MG Road Rakabganj Opposite Indian Overseas Bank Central Agra 282001","https://maps.google.com/?q=27.179308,78.005718",282001,27° 10' 45.5088'' N,78° 0' 20.5848'' E,8 Reviews,43 Votes ,4.4,"['Air Conditioned', 'Lift', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Live Screening', 'Wallet Accepted']",+91 9212340202,0562- 61495087,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/i/l/m66698-16539959846295f9d030574.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/y/x/m66698-16539959906295f9d6f2462.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/h/n/m66698-16539959976295f9dd8d1c3.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/f/j/m66698-16539960056295f9e51e49f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/u/q/m66698-16539960126295f9ec3878d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/f/o/m66698-16539960186295f9f2dd626.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/i/a/m66698-16539960256295f9f9847d1.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/i/e/m66698-16539960326295fa00167c8.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/y/b/m66698-16539961536295fa7967d1e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/v/d/m66698-16539961606295fa80a6816.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/z/u/m66698-16539961686295fa8821fbf.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/l/a/m66698-16539961756295fa8f5b4a4.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/k/o/m66698-16539961836295fa97d1748.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/v/i/m66698-16539961936295faa120697.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/i/q/m66698-16539962016295faa9e2c74.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/m/i/m66698-16539962096295fab19ce89.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/w/q/m66698-16088802405fe5907044db9.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/n/b/m66698-16088802475fe5907714ce5.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/b/q/m66698-16088802535fe5907d1c836.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/x/w/m66698-16088802595fe5908320072.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/v/o/m66698-16088802655fe5908945e7d.jpg?tr=tr:n-xlarge']","['Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu']","Chilli Potato, Pasta, Chicken, Chicken Curry, Paneer Makhani, Mutton Biryani.",Nightlife
0,Star Ultimate Pizza,400 ,"['Pizza', 'Fast Food']","V Mart Mall Basement, VIP Road Arjun Nagar Near Kheria Mode Road West Agra 282001","https://maps.google.com/?q=27.16310,77.98820",282001,27° 9' 47.1600'' N,77° 59' 17.5200'' E,No Reviews,3 Votes ,3.7,['Home Delivery'],+91 9212340202,09758223530,['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/o/o/m67947-1635664467617e425366479.jpg?tr=tr:n-xlarge'],['Menu'],"French Fries, Veg Calzone, Paneer Pizza, Chocolate Shake, Pasta, Chicken Mexican White Pasta.",QSR
0,Cafe Double Shot,500 ,"['Fast Food', 'Beverages']","45, Anand Bazar, Sai Ka Takia, MG Road, Rakabganj Near Baptist Higher Secondary School Central Agra 282001","https://maps.google.com/?q=27.171564,78.009363",282001,27° 10' 17.6304'' N,78° 0' 33.7068'' E,0,0,5,"['Air Conditioned', 'Home Delivery', 'Wallet Accepted']",+91 9212340202,08279311645,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/d/t/m104760-164871238162455abd2b37a.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/u/v/m104760-164871237162455ab34ff7a.jpg?tr=tr:n-xlarge']","['Menu', 'Menu']",0,Cafe
0,Pankhuri Restaurant,"1,000 ","['North Indian', 'South Indian', 'Chinese', 'Continental']","Hotel Moti Palace, Dhakran Crossing, Mahatma Gandhi Road Rakabganj Near Anu Apparels Central Agra 282010","https://maps.google.com/?q=27.179206,78.005752",282010,27° 10' 45.1416'' N,78° 0' 20.7072'' E,2 Reviews,14 Votes ,4.1,"['Air Conditioned', 'Wifi', 'Home Delivery', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,09359739112,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/z/r/m65053-15682911745d7a3966df0ae.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/r/c/m65053-15682911695d7a396152146.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/s/z/m65053-15682911815d7a396d0c358.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/g/k/m65053-15682912035d7a3983ee30e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/b/j/m65053-15682911985d7a397e027ac.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/v/u/m65053-15682911635d7a395b51e9f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/e/y/m65053-15682911865d7a39728dcab.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/u/z/m65053-15682911925d7a3978290cb.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/j/z/m65053-15682912095d7a398996c18.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/b/t/m65053-15682912145d7a398ef0471.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Mushroom Tikka, Tabahi Aloo, Dal Bukhara, Dal Makhani, Burro Pasta Sauce, Mixed Sauce Pasta.",Casual Dining
0,Shahenshah,"1,900 ","['Continental', 'North Indian', 'Mughlai']","Hotel Grand Imperial, 32/107 A, M G Road Rakabganj Opposite D M Compound Central Agra 282001","https://maps.google.com/?q=27.173316,78.008919",282001,27° 10' 23.9376'' N,78° 0' 32.1084'' E,2 Reviews,3 Votes ,0,"['Air Conditioned', 'Lift', 'Valet Available', 'Parking', 'Differently Abled Friendly', 'Cards Accepted']",+91 9212340202,0562-4002781,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/v/k/m65584-15686335795d7f72ebc5458.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/w/g/m65584-15686335855d7f72f145205.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/o/i/m65584-15686335905d7f72f66f77c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/c/o/m65584-15686335955d7f72fbc4d48.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/g/x/m65584-15686336005d7f7300bef00.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/n/f/m65584-15686336055d7f7305e54ca.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/b/s/m65584-15686336115d7f730b1e916.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/g/l/m65584-15686336165d7f73100fe26.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Chilly Paneer, Shredded Chicken, Kadhai Chicken, Bhuna Ghost, Hot Chocolate, Gulab Jamun.",Casual Dining
0,Cafe Golden Elephant,700 ,"['Continental', 'North Indian']","Ramada Plaza, Ring Road Crossing, Fatehabad Road Tajganj Near Khushi Buetiq East Agra 282001","https://maps.google.com/?q=27.160217,77.981322",282001,27° 9' 36.7812'' N,77° 58' 52.7592'' E,No Reviews,3 Votes ,4.5,"['Parking', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,0562-7123500,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/w/d/m67633-16467199366226f3c0d6ea9.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/q/c/m67633-16467199436226f3c7d9948.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/n/p/m67633-16467199506226f3ce579ed.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/c/k/m67633-16467199566226f3d48ecd7.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/o/y/m67633-16467199626226f3daef5e5.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/x/p/m67633-16467199706226f3e2013c8.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']",0,Casual Dining
0,Wonder Terrace Bar & Kitchen,"3,500 ","['Continental', 'North Indian', 'Finger Food']","Radisson Hotel, C-1-2, Taj Nagri Phase 1, Basai Khurd, Fatehabad Road Tajganj Near Kheria Mod Post Office East Agra 282001","https://maps.google.com/?q=27.160890,77.983283",282001,27° 9' 39.2040'' N,77° 58' 59.8188'' E,2 Reviews,18 Votes ,3.9,"['Air Conditioned', 'Valet Available', 'Home Delivery', 'Parking', 'Cards Accepted', 'Full Bar Available', 'Outdoor Seating', 'Poolside', 'Roof Top']",+91 9212340202,0562-61495077,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/n/e/m65115-15719157825db18806322f5.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/n/u/m65115-15719157885db1880cdd751.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/w/w/m65115-15719157955db188139d6f8.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/h/d/m65115-15719158035db1881bf1620.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/s/h/m65115-15719158155db188278cb0f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/d/b/m65115-15719158215db1882d6e004.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/f/g/m65115-15719158275db18833d6b86.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/i/p/m65115-15719158085db18820f0463.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Chicken Satay, Balsamic Vegetables, Jhinga Guldari, Malai Paneer Tikka, Chicken Biryani, Ice Cream.","5 Star, Bar"
0,Social Attitude,600 ,"['Fast Food', 'Chinese', 'Italian', 'North Indian']","61, Jaipur House Market Shahganj Near Sales Tax Office West Agra 282010","https://maps.google.com/?q=27.188083,77.986999",282010,27° 11' 17.0988'' N,77° 59' 13.1964'' E,1 Reviews,6 Votes ,4.1,"['Air Conditioned', 'Wifi', 'Home Delivery', 'Cards Accepted', 'Live Screening', 'Wallet Accepted']",+91 9212340202,09897068773,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/k/i/m65614-15686991725d807324f2404.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/l/d/m65614-15686991465d80730a57510.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/f/v/m65614-15686991595d807317a69eb.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/k/q/m65614-15686991665d80731e7011c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/h/d/m65614-15686991795d80732b8f84c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/p/x/m65614-15686991855d807331ea04d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/y/t/m65614-15686991525d807310e12c4.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/o/y/m65614-15686991925d80733850588.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Chicken Tikka, Butter Chicken, Mutton Korma, Kadhai Paneer, Rumali Roti, Haryali Kebab.",Not Mentioned
0,New Pizza King,500 ,"['Pizza', 'Italian']","Plot 7 - 8, Rana Market, Saket Colony Road Shahganj Near Garima Maternity Hospital and Ultrasound Center West Agra 282010","https://maps.google.com/?q=27.183260,77.978891",282010,27° 10' 59.7360'' N,77° 58' 44.0076'' E,1 Reviews,5 Votes ,3.6,['Home Delivery'],+91 9212340202,08791069224,['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/z/s/m75366-15804569905e33dc1eb1aea.jpg?tr=tr:n-xlarge'],['Menu'],0,QSR
