,Name,Price_for_two,Cuisines,Address,Maps_Link,Pincode,latitude,longitude,Reviews,Votes,Rating,Facilities,Company_Phone,Restaurant_Phone,Menu_Links,Menu_Labels,Bestselling_Items,Restaurant_Type
0,Rasila's Kitchen,"1,000 ","['North Indian', 'Continental', 'Chinese', 'Fast Food']","Shivalik Business Centre, A/3, Ground Floor, Bodakdev Near HDFC Bank, West Ahmedabad 380054","https://maps.google.com/?q=23.034653,72.501483",380054,23° 2' 4.7508'' N,72° 30' 5.3388'' E,0,0,0,"['Air Conditioned', 'Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,09898940506,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/c/i/m76242-163816475661a469147f3d6.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/y/i/m76242-163816476661a4691e96271.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/u/y/m76242-163816477561a469272d8fc.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/e/b/m76242-163816478361a4692f719d5.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/x/p/m76242-163816479061a46936ece2e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/t/m/m76242-163816479761a4693df0cd3.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/f/h/m76242-163816480561a4694559cbe.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']",0,Casual Dining
0,Barbeque World,800 ,"['North Indian', 'Chinese']","Sigma Legacy Building, 104, 1st Floor, IIM Road, Panjrapole Near Life Fitness Point gym, West Ahmedabad 380015","https://maps.google.com/?q=23.027731,72.544309",380015,23° 1' 39.8316'' N,72° 32' 39.5124'' E,34 Reviews,150 Votes ,4.2,"['Air Conditioned', 'Lift', 'Valet Available', 'Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,079-48988886,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/y/a/m22002-165494288662a46ca670533.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/b/n/m22002-165494289362a46cad72e08.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/u/t/m22002-165494290062a46cb4649a5.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu']","Noodle, Deserts, Mocktail, Salads, Gulab Jamun, Buffet.",Casual Dining
0,Umami by Curries,800 ,"['Chinese', 'North Indian', 'Continental']","Shivalik Plaza, 1st Floor, B Block, 105, IIM Road Ambawadi Near AMA West Ahmedabad 380015","https://maps.google.com/?q=23.027663,72.545069",380015,23° 1' 39.5868'' N,72° 32' 42.2484'' E,58 Reviews,211 Votes ,4.3,"['Air Conditioned', 'Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,079-48480008,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/p/k/m9121-16499337576257fdbd23b72.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/i/u/m9121-16499337646257fdc4254f9.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/t/p/m9121-16499337706257fdca7b60f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/g/t/m9121-16499337786257fdd26c74a.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/f/t/m9121-16499337856257fdd91b986.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/b/k/m9121-16499337926257fde038d1d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/h/a/m9121-16499338426257fe1205eb7.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/u/r/m9121-16499338506257fe1a310a2.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/n/q/m9121-16499338576257fe217066d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/a/o/m9121-16499338656257fe297661b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/d/s/m9121-16499338746257fe3244a1d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/a/a/m9121-16499339106257fe560eb9f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/i/z/m9121-16499339176257fe5ddc0ee.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/m/i/m9121-16499339256257fe65b65d6.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/d/e/m9121-16499339316257fe6b32637.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/d/z/m9121-16499339376257fe7122505.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/b/x/m9121-16499339626257fe8a2647a.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/k/s/m9121-16499339746257fe964263f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/y/s/m9121-16499339686257fe90b0b49.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Tarah Tarah Ke Kabab Platter, Murgh Mewadi Curry, Mutton Rajputana, Fish Amritsari Tikka, Paneer Angara Masala.",Casual Dining
0,Makeba The Lounge Cafe,"1,000 ","['North Indian', 'Continental', 'Italian', 'Beverages']","3rd Eye Vision, 8th Floor, Rooftop, University Area, IIM Road Panjrapole Opposite Shivalik Plaza West Ahmedabad 380009","https://maps.google.com/?q=23.028926,72.542919",380009,23° 1' 44.1336'' N,72° 32' 34.5084'' E,35 Reviews,260 Votes ,4.4,"['Smoking Area', 'Lift', 'Wifi', 'Home Delivery', 'Parking', 'Live Performance', 'Cards Accepted', 'Candle Light Dinner', 'Outdoor Seating', 'Roof Top', 'Live Screening', 'Wallet Accepted']",+91 9212340202,07490044477,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/d/p/m49604-16018803925f7ac148ed153.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/p/z/m49604-16018804085f7ac158dd5f1.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/k/t/m49604-16018804195f7ac163b71e1.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/e/i/m49604-16018804325f7ac1708d69b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/s/k/m49604-16018804425f7ac17ae2257.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/a/o/m49604-16018804525f7ac184ba4ca.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/c/i/m49604-16018804635f7ac18f94535.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/k/x/m49604-16018804715f7ac1979a16c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/j/p/m49604-16018804845f7ac1a4dc238.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/h/t/m49604-16018804975f7ac1b12bb32.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/v/v/m49604-16018805065f7ac1babf135.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/j/a/m49604-16018805175f7ac1c55a3b7.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/a/s/m49604-16018805275f7ac1cfeeb41.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/o/e/m49604-16018806115f7ac2232b85c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/r/o/m49604-16018806345f7ac23aa6639.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/w/t/m49604-16018806585f7ac2521b9ad.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/y/e/m49604-16018806805f7ac26898dec.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/s/s/m49604-16018807025f7ac27e8bdab.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Spaghetti Pasta, Mexican Hot Pot, Kit Kat Shake, Tandoori Tantra, Paneer Toofani.",Casual Dining
0,From The North,"1,500 ","['North Indian', 'Italian', 'Continental']","Emerald Building, Ground Floor, CG Road Navrangpura Near Spain Visa  Application Centre West Ahmedabad 380009","https://maps.google.com/?q=23.035257,72.561975",380009,23° 2' 6.9252'' N,72° 33' 43.1100'' E,50 Reviews,284 Votes ,4.3,"['Air Conditioned', 'Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,079-48973636,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/s/v/m46244-16077830825fd4d2aaba6c2.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/f/q/m46244-16077830655fd4d299e6e81.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/p/n/m46244-16077830745fd4d2a24f9f0.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/w/n/m46244-16077830905fd4d2b2a0e13.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/i/l/m46244-16077830985fd4d2bada625.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/s/y/m46244-16077831065fd4d2c2edd5f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/r/v/m46244-16077831145fd4d2cab6e8e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/q/n/m46244-16077831235fd4d2d31685a.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/o/y/m46244-16077830575fd4d291dbd72.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/u/v/m46244-16077831315fd4d2db47867.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Baked Cheese Butter Masala, Manchow Soup, Paneer Tikka Pahadi, Awadhi Dum Paneer, Laccha Paratha.",Casual Dining
0,Mocha,"1,200 ","['North Indian', 'Fast Food', 'Beverages', 'Continental']","Vasant Baug Society, 10, Ground Floor, Gulbai Tekra Road Navrangpura Opposite IDBI Bank West Ahmedabad 380006","https://maps.google.com/?q=23.029502,72.554912",380006,23° 1' 46.2072'' N,72° 33' 17.6832'' E,14 Reviews,131 Votes ,4.4,"['Smoking Area', 'Air Conditioned', 'Wifi', 'Home Delivery', 'Parking', 'Cards Accepted', 'Outdoor Seating', 'Live Screening', 'Wallet Accepted']",+91 9212340202,07600260000,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/h/r/m36193-165668228362bef72b8f464.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/s/y/m36193-165668229062bef732c40cf.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/v/t/m36193-165668229862bef73a1e0e6.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/i/c/m36193-165668230662bef74234c15.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/s/j/m36193-165668231362bef749da2a2.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/m/s/m36193-165668232362bef753e5ab6.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/y/l/m36193-165668233162bef75b2760a.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/s/c/m36193-165668233862bef76248f82.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/m/s/m36193-165668237662bef7889817b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/a/l/m36193-165668238362bef78fc810c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/t/u/m36193-165668239162bef7973d476.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/z/n/m36193-165668239862bef79e6ba29.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/f/l/m36193-165668240562bef7a594c2e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/l/t/m36193-165668241262bef7acb03fc.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/g/d/m36193-165668241962bef7b3e1289.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/g/a/m36193-165668242762bef7bb54889.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/t/m/m36193-165668245562bef7d74fbff.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/f/w/m36193-165668246262bef7ded24fb.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Cafe Mocha, Cappuccino, Chilli Cheese Dragon Roll, Mocha Shake, Pink Sauce Penne Pasta.",Cafe
0,Sam's Pizza,600 ,"['Pizza', 'Fast Food']","Shivalik Plaza, 101, 1st Floor, IIM Road Ambawadi Above Kia Showroom, West Ahmedabad 380015","https://maps.google.com/?q=23.028407,72.542111",380015,23° 1' 42.2652'' N,72° 32' 31.5996'' E,28 Reviews,147 Votes ,4.3,"['Air Conditioned', 'Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,079-48924040,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/z/v/m33007-165908748862e3aa80aef2d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/d/t/m33007-165908749662e3aa8849e34.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/y/d/m33007-165908750362e3aa8f2762c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/y/w/m33007-165908751062e3aa9635cdd.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/f/g/m33007-165908751662e3aa9cc094d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/u/e/m33007-165908752362e3aaa38914e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/s/l/m33007-165908753062e3aaaa67221.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/m/k/m33007-165908753762e3aab163af1.jpg?tr=tr:n-xlarge']","['Unlimited Menu', 'Fun Ky Party Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu']","Hot 'n' Spicy, Re-Union, American Heat, Tandoori Paneer, Cajun Spicy.",Casual Dining
0,Turquoise Villa Bistro & Cafe,"1,300 ","['Italian', 'Continental', 'North Indian', 'Beverages']","Shanay - 1, Ground Floor, IIM Atira Road Vastrapur Opposite Kia Motors, West Ahmedabad 380015","https://maps.google.com/?q=23.027663,72.545069",380015,23° 1' 39.5868'' N,72° 32' 42.2484'' E,17 Reviews,113 Votes ,4.2,"['Air Conditioned', 'Wifi', 'Valet Available', 'Home Delivery', 'Parking', 'Cards Accepted', 'Live Screening', 'Wallet Accepted']",+91 9212340202,079-40373000,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/l/i/m19463-164285774461ec0510ded07.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/v/m/m19463-164285775261ec0518157f7.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/z/y/m19463-164285775961ec051f6ae79.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/s/x/m19463-164285776661ec05266b5ad.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/j/w/m19463-164285777361ec052dccbb2.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/e/n/m19463-164285778161ec053575a3a.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Nachos Supreme, Pasta In Mix Sauce, Mexican Burrito Bowl, Corn Cheese Kebab, Blue Berry Mojito.",Cafe
0,Tomato's,"1,300 ","['Asian', 'North Indian', 'American', 'Italian', 'Mexican']","Mardia Plaza, 1-3, Ground Floor, Chimanlal Girdharlal Road Ellis Bridge Opposite Central Bank Of India Central Ahmedabad 380009","https://maps.google.com/?q=23.026554,72.557341",380009,23° 1' 35.5944'' N,72° 33' 26.4276'' E,18 Reviews,75 Votes ,0,"['Air Conditioned', 'Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,09099071878,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/k/e/m2670-1635754110617fa07e363a9.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/c/n/m2670-1635754118617fa086d1a60.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/g/b/m2670-1635754128617fa09093ce9.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/i/m/m2670-1635754136617fa098c9a66.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/f/n/m2670-1635754145617fa0a14520f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/b/n/m2670-1635754154617fa0aa08b71.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/r/w/m2670-1635754162617fa0b23ee40.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/z/d/m2670-1635754170617fa0ba7d9f7.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/w/b/m2670-1635754199617fa0d7bdf8f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/g/k/m2670-1635754209617fa0e10841b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/h/l/m2670-1635754217617fa0e902842.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/z/w/m2670-1635754244617fa10475f53.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Dessert Skillet, Fish Fingers, Nachos Supreme, Pot Rice, Hot Pot, Lasagna.",Casual Dining
0,Amritsar Punjab Paratha,600 ,"['North Indian', 'Chinese']","Antriksh Complex, Shop No 7, Ground Floor, Char Rasta, Ambawadi Near Nims University, West Ahmedabad 380015","https://maps.google.com/?q=23.027054,72.544309",380015,23° 1' 37.3944'' N,72° 32' 39.5124'' E,0,0,5,"['Air Conditioned', 'Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,07069111921,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/q/k/m106452-16539778676295b30b62b5d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/p/n/m106452-16539778766295b3147a7b9.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/g/n/m106452-16539778866295b31e23537.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/p/l/m106452-16539778946295b326cd8fd.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/y/m/m106452-16539779036295b32fa2835.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu']",0,Casual Dining
