,Name,Price_for_two,Cuisines,Address,Maps_Link,Pincode,latitude,longitude,Reviews,Votes,Rating,Facilities,Company_Phone,Restaurant_Phone,Menu_Links,Menu_Labels,Bestselling_Items,Restaurant_Type
0,Smoke Hub Barbeque,"1,800 ","['North Indian', 'Chinese', 'Italian']","5/6, 4th Floor, Prakasam Road Thyagaraya Nagar Near Panagal Park Bus Stop Central Chennai 600017","https://maps.google.com/?q=13.042039,80.233346",600017,13° 2' 31.3404'' N,80° 14' 0.0456'' E,58 Reviews,361 Votes ,3.7,"['Air Conditioned', 'Lift', 'Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,044-46310909,['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/v/j/m89764-1651310905626d013995c21.jpg?tr=tr:n-xlarge'],['Menu'],0,Casual Dining
0,Locofeast,"1,000 ","['North Indian', 'Chinese']","15-A, No. 29, HM Centre, Second Floor Nungambakkam Opposite Pan Card Office Central Chennai 600034","https://maps.google.com/?q=13.05705,80.248228",600034,13° 3' 25.3800'' N,80° 14' 53.6208'' E,82 Reviews,505 Votes ,4.2,"['Air Conditioned', 'Lift', 'Valet Available', 'Parking', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,08124481241,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/s/x/m50376-16035382685f940d5cd6e21.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/j/a/m50376-16035382835f940d6bc6edd.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/e/h/m50376-16035382965f940d7845bda.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/r/f/m50376-16035383085f940d84ad776.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/k/f/m50376-16035383255f940d950933f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/n/t/m50376-16035383395f940da388cd7.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/y/d/m50376-16035383595f940db726ebf.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/c/h/m50376-16035383735f940dc57cba8.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/u/o/m50376-16035383865f940dd27d3e7.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/s/q/m50376-16035383985f940dde5c6a0.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/t/w/m50376-16035384105f940dea7c6aa.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/h/o/m50376-16035384265f940dfacf509.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/c/w/m50376-16035384405f940e08f2a01.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Chicken, Chicken Lollipop, Bbq Wings, Juice, Brownies.",Casual Dining
0,Coal Barbecues,"1,500 ","['North Indian', 'Mughlai', 'South Indian']","No - 40, 2nd Floor, Bazullah Road Thyagaraya Nagar Above ICICI Bank Central Chennai 600017","https://maps.google.com/?q=13.047192,80.236828",600017,13° 2' 49.8912'' N,80° 14' 12.5808'' E,303 Reviews,1481 Votes ,4.1,"['Air Conditioned', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,044-48607201,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/r/c/m36656-1651466877626f627d4e7e7.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/l/k/m36656-16013714885f72fd600e8ed.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/z/d/m36656-16013714945f72fd66ef3be.jpg?tr=tr:n-xlarge']","['Eid Special Menu', 'Food Menu', 'Food Menu']","Crispy Honey Chicken Wings, Malai Prawn, Cajun Chicken, Honey Garlic, Chicken Tikka Gravy, Garlic Chicken Wings",Casual Dining
0,ABs - Absolute Barbecues,"1,400 ",['North Indian'],"Towers Victorie, 45, Third Floor, G N Chetty Road, Thyagaraya Nagar Near Viswa and Devji Diamonds Central Chennai 600017","https://maps.google.com/?q=13.044338,80.24097",600017,13° 2' 39.6168'' N,80° 14' 27.4920'' E,193 Reviews,1027 Votes ,4.2,"['Air Conditioned', 'Lift', 'Valet Available', 'Parking', 'Differently Abled Friendly', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,07337383762,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/m/u/m17744-165779614062cff62c7e9b1.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/s/o/m4036-1661927508630f0054bda9e.jpg?tr=tr:n-xlarge']","['Special Menu', 'Food Menu']","Juicy Tandoori Chicken, Lamb Kofta, Peking Duck, Grill Platter, Schezwan Prawn, American Potato",Casual Dining
0,Barbeque Nation,"1,800 ","['North Indian', 'Chinese', 'Fast Food']","Star City Service Appartments, 39, Ground Floor, Bazullah Road, Thyagaraya Nagar Near Yes Bank Central Chennai 600017","https://maps.google.com/?q=13.046928,80.234942",600017,13° 2' 48.9408'' N,80° 14' 5.7912'' E,81 Reviews,337 Votes ,4.2,"['Air Conditioned', 'Wifi', 'Valet Available', 'Parking', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,044-65556010,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/z/k/m1649-16615134836308af0b6693e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/a/h/m1649-16615134916308af13ed3a3.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/q/u/m531-165475575362a191a929def.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/y/d/m531-165475575962a191af439d4.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/r/g/m531-165475576562a191b565bfa.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/e/e/m531-165475577162a191bbf3c90.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/l/k/m531-165475577862a191c21234e.jpg?tr=tr:n-xlarge']","['Food Menu', 'Food Menu', 'Beverages Menu', 'Beverages Menu', 'Beverages Menu', 'Beverages Menu', 'Beverages Menu']","Roasted Corn, Bbq Prawns, Cajun Potato, Chicken Dosa, Crab Cake, Choco Brownie.",Casual Dining
0,La Cabana,"2,000 ","['North Indian', 'Chinese', 'Seafood', 'Continental']","Hotel Park Elanza, 125, Valluvar Kottam High Road Nungambakkam Near Canara Bank Central Chennai 600034","https://maps.google.com/?q=13.056511,80.24275",600034,13° 3' 23.4396'' N,80° 14' 33.9000'' E,23 Reviews,185 Votes ,4.5,"['Smoking Area', 'Wifi', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Outdoor Seating', 'Poolside', 'Roof Top', 'Wallet Accepted']",+91 9212340202,07824056100,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/g/r/m52219-163859247561aaefdbe41ee.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/x/l/m52219-163859248361aaefe3451bc.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/g/o/m52219-163859249061aaefea827af.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/x/a/m52219-163859249761aaeff1b31c7.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/u/f/m52219-163859250561aaeff913ede.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/i/w/m52219-163859251161aaefffc473e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/l/e/m52219-163859251961aaf00782a09.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/y/b/m52219-163859252661aaf00eb3f6f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/b/c/m52219-163859258661aaf04adf5a0.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/a/o/m52219-163859259461aaf052093a9.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/p/f/m52219-163859260061aaf058d8e2c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/u/u/m52219-163859260861aaf0604f664.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/l/j/m52219-163859261561aaf06722800.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/u/c/m52219-163859262261aaf06e66e1a.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/y/r/m52219-163859266761aaf09bf1910.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/v/c/m52219-163859276761aaf0ff92d26.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/n/y/m52219-163859278361aaf10f07bc3.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/m/l/m52219-163859279061aaf1169385b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/g/o/m52219-163859279761aaf11db8532.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/o/k/m52219-163859280461aaf124ca41d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/w/g/m52219-163859281261aaf12c4077c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/j/s/m52219-163859281961aaf1339c122.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/y/q/m52219-163859282661aaf13ab39f6.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/m/n/m52219-163859288261aaf17238725.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/t/v/m52219-163859289561aaf17f82a53.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/z/x/m52219-163859290961aaf18d113a2.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/a/a/m52219-163859292161aaf1992d0bb.jpg?tr=tr:n-xlarge']","['Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Vegan Food Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu']","Kebas, Barbeque, Lobster",Casual Dining
0,ABs - Absolute Barbecues,"1,400 ",['North Indian'],"1, Hanumantha Road, Thyagaraya Nagar Near Soma Sunder Ground, Central Chennai 600017","https://maps.google.com/?q=13.045443,80.233066",600017,13° 2' 43.5948'' N,80° 13' 59.0376'' E,89 Reviews,520 Votes ,4.2,"['Air Conditioned', 'Wifi', 'Valet Available', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Live Screening', 'Wallet Accepted']",+91 9212340202,07337383762,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/s/i/m38577-165779580462cff4dce45e2.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/h/k/m38577-1613652900602e63a47816b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/s/w/m38577-1613652906602e63aac60cc.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/e/b/m38577-1613652912602e63b0b13b8.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/h/t/m38577-1613652919602e63b76018c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/b/e/m38577-1613652925602e63bdee060.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/v/e/m38577-1613652932602e63c47dc70.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/i/y/m38577-1613652939602e63cb0bd18.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/m/q/m38577-1613652945602e63d158b0f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/s/o/m4036-1661927508630f0054bda9e.jpg?tr=tr:n-xlarge']","['Special Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Food Menu']","Juicy Tandoori Chicken, Lamb Kofta, Peking Duck, Grill Platter, Schezwan Prawn, American Potato.",Casual Dining
0,Trella,"2,000 ","['North Indian', 'Chinese', 'Continental', 'Fast Food']","Jaag Hotel, No-41, 4th Floor, Periyar Road, Thyagaraya Nagar Near Axis Bank, Central Chennai 600017","https://maps.google.com/?q=13.052586,80.23572",600017,13° 3' 9.3096'' N,80° 14' 8.5920'' E,67 Reviews,366 Votes ,4.1,"['Air Conditioned', 'Lift', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Outdoor Seating', 'Roof Top', 'Wallet Accepted']",+91 9212340202,044-48604848,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/u/f/m53403-166246770663173e7abd4ee.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/e/q/m53403-166246772563173e8d62593.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/w/x/m53403-166246774463173ea0f067d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/g/c/m53403-166246776363173eb34c943.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/u/n/m53403-166246777763173ec11ddb6.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/e/v/m53403-166246779563173ed3e446d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/u/t/m53403-166246781163173ee3d2a76.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/j/l/m53403-166246782763173ef33a9e0.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/j/h/m53403-166246794263173f66b029f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/q/s/m53403-166246796063173f783e264.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/a/i/m53403-166246797663173f8847947.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/f/b/m53403-166246799263173f987fa20.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/t/k/m53403-166246800863173fa82e722.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/d/c/m53403-166246807863173fee5466b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/j/m/m53403-166246808763173ff7646a9.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/n/o/m53403-1662468097631740010fa9b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/r/d/m53403-16624681066317400a4a1f6.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/k/t/m53403-166246811563174013262fb.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/u/i/m53403-16624681246317401c0c0d6.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/k/n/m53403-16624681406317402c79af5.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/p/n/m53403-16624681506317403657285.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/d/m/m53403-16624681596317403f6f928.jpg?tr=tr:n-xlarge']","['Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu']","Cottage Cheese Sliders, Pita Pockets and Dips, Malai Tikka, Galouti Kebab, Kadai Murgh",Casual Dining
0,Timesquare Restobar,"1,200 ","['Italian', 'Asian', 'North Indian']","D.V.K. Towers, 84/90, 2nd Floor, G.N. Chetty Road Thyagaraya Nagar Near State Bank Of India Central Chennai 600017","https://maps.google.com/?q=13.044369,80.238454",600017,13° 2' 39.7284'' N,80° 14' 18.4344'' E,22 Reviews,130 Votes ,3.8,"['Air Conditioned', 'Valet Available', 'Serves Alcohol', 'Parking', 'Differently Abled Friendly', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,08056316968,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/c/n/m71805-15745795085dda2d34a5bd7.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/o/u/m71805-15745795145dda2d3ada498.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/w/v/m71805-15745795205dda2d4024472.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/w/t/m71805-15745795255dda2d4506feb.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/q/k/m71805-15745795305dda2d4a89b3e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/r/n/m71805-15745795355dda2d4f6d714.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/i/i/m71805-15745795405dda2d543cae2.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/n/x/m71805-15745795455dda2d59431af.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/u/c/m71805-15745795505dda2d5e3a7d4.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/a/c/m71805-15745795555dda2d63a7eb6.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/z/x/m71805-15745795605dda2d689b710.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/g/x/m71805-15745795655dda2d6dbf0b3.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/o/o/m71805-15745795705dda2d72e7f16.jpg?tr=tr:n-xlarge']","['Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu']","Cocktails, Rum, Scotch, Noodles, Chicken Fries",Casual Dining
0,The Thief,"1,400 ","['Asian', 'Continental']","50, New, 150, Kodambakkam High Road, Nungambakkam Near Bandhan Bank, Central Chennai 600034","https://maps.google.com/?q=13.053067,80.246406",600034,13° 3' 11.0412'' N,80° 14' 47.0616'' E,2 Reviews,29 Votes ,4.1,"['Air Conditioned', 'Home Delivery', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Outdoor Seating', 'Roof Top', 'Wallet Accepted']",+91 9212340202,08111007400,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/n/y/m90403-1618232806607445e688af7.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/i/j/m90403-1618232815607445ef02d53.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/t/z/m90403-1618232824607445f8d30ab.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/e/g/m90403-16182328626074461e36faa.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/o/x/m90403-1618232871607446274d342.jpg?tr=tr:n-xlarge']","['Food Menu', 'Food Menu', 'Food Menu', 'Bar Menu', 'Bar Menu']",0,Casual Dining
