,Name,Price_for_two,Cuisines,Address,Maps_Link,Pincode,latitude,longitude,Reviews,Votes,Rating,Facilities,Company_Phone,Restaurant_Phone,Menu_Links,Menu_Labels,Bestselling_Items,Restaurant_Type
0,Nostalgia,"1,200 ","['Portuguese', 'Goan']","Margao Ponda Road, Raia Margao Near Senail Car Ac Service N Repairs South Goa 403720","https://maps.google.com/?q=15.319165,73.983972",403720,15° 19' 8.9940'' N,73° 59' 2.2992'' E,8 Reviews,10 Votes ,4.2,"['Live Performance', 'Cards Accepted', 'Outdoor Seating', 'Live Screening', 'Wallet Accepted']",+91 9212340202,0832-2777054,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/y/r/m2003-15846897415e74724da9498.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/n/g/m2003-15846897475e747253f04b6.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/r/l/m2003-15846897535e747259ce9a9.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/c/c/m2003-15846897355e747247ebce5.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/q/c/m2003-15846897595e74725fb2cc9.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/d/l/m2003-15846897665e747266647ec.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/u/x/m2003-15846897725e74726c31f62.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Cheese Fluffs, Potato Basket, Mixed Veg Soup, Chicken Peri Peri, Veg Caldinho, Urad Methi Curry.",Casual Dining
0,House No. 2,800 ,"['Chinese', 'North Indian', 'Continental', 'Goan']","House No. 106, Ambora Bustop to Loutulim, Camorlim, Margao Near Big Foot, South Goa 403718","https://maps.google.com/?q=15.336039,73.989071",403718,15° 20' 9.7404'' N,73° 59' 20.6556'' E,No Reviews,3 Votes ,3.6,"['Home Delivery', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,0,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/d/c/m49477-15440923195c08fa9ff2534.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/l/g/m49477-15440923295c08faa9947da.jpg?tr=tr:n-xlarge']","['Menu', 'Menu']",0,Casual Dining
0,Cremeux,800 ,"['Italian', 'Desserts']","Sanchayani Anant Vishwa Complex, Building B, Shop no 5, 6, 7, Ground Floor, Vidhyanagar, Aquem Margao  South Goa 403601","https://maps.google.com/?q=15.280269,73.977430",403601,15° 16' 48.9684'' N,73° 58' 38.7480'' E,0,0,5,"['Wifi', 'Cards Accepted']",+91 9212340202,08080930907,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/o/g/m4819-1645770927621878af0344e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/h/b/m4819-1645770932621878b4d5d37.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/q/a/m4819-1645770914621878a2d8adc.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu']",Pizza,QSR
0,Martin's Place -The Village Bistro & Pub,700 ,['Chinese'],Navelim Margao Near Padre Pio Chapel Moddi South Goa 403725,"https://maps.google.com/?q=15.241108,73.980481",403725,15° 14' 27.9888'' N,73° 58' 49.7316'' E,No Reviews,1 Votes ,5,"['Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,09764368257,['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/a/v/m90880-1619678975608a56ff6c21d.jpg?tr=tr:n-xlarge'],['Menu'],0,Casual Dining
0,AJ's,600 ,"['Continental', 'Fast Food', 'American', 'Pizza']","House Number 1336, K.K. White House, Don Bosco Road, Murida, Fatorda Margao  South Goa 403602","https://maps.google.com/?q=15.290662,73.967251",403602,15° 17' 26.3832'' N,73° 58' 2.1036'' E,No Reviews,5 Votes ,5,"['Air Conditioned', 'Home Delivery', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,09923204220,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/g/y/m49246-15440920975c08f9c19e29e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/w/k/m49246-15440921035c08f9c72a3c4.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/t/q/m49246-15440921085c08f9cc53c92.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/e/q/m49246-15440921135c08f9d197e01.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/x/w/m49246-15440921185c08f9d6ae864.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/t/t/m49246-15440921245c08f9dc131ab.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/w/k/m49246-15440921295c08f9e19131c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/v/q/m49246-15440921345c08f9e619fdc.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/u/h/m49246-15440921385c08f9eabd4e0.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/n/f/m49246-15440921435c08f9ef4a0a7.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/g/m/m49246-15440921475c08f9f3ee635.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/x/d/m49246-15440921525c08f9f887b89.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/l/z/m49246-15440921565c08f9fcd8c84.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']",0,QSR
0,Alcoves Restaurant and Bar,900 ,"['Chinese', 'North Indian']","Ambar Apartment, Shop 3 Margao Near PMC Bank South Goa 403601","https://maps.google.com/?q=15.271573,73.967109",403601,15° 16' 17.6628'' N,73° 58' 1.5924'' E,No Reviews,1 Votes ,5,"['Air Conditioned', 'Wifi', 'Home Delivery']",+91 9212340202,0832-2730536,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/p/h/m62474-15659333265d563f0e0ee1e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/k/w/m62474-15659333325d563f146766c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/g/m/m62474-15659333385d563f1aab78b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/d/k/m62474-15659333445d563f2052c1d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/p/x/m62474-15659333505d563f262210c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/q/m/m62474-15659333555d563f2bd1ca1.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/f/c/m62474-15659333625d563f321f703.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Fish Curry, Chicken Fried Rice, Chicken Noodles ",Casual Dining
0,Navtara,600 ,"['South Indian', 'Fast Food', 'Beverages', 'North Indian', 'Goan']","Lotus Heights, Shop 3-4, Ground Floor, Malbhat Margao Near Carmelite Monastery South Goa 403601","https://maps.google.com/?q=15.271729,73.966088",403601,15° 16' 18.2244'' N,73° 57' 57.9168'' E,12 Reviews,37 Votes ,4,"['Home Delivery', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,07410019437,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/r/y/m4733-15845078185e71abaa76047.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/u/i/m4733-15845078345e71abbae8cbc.jpg?tr=tr:n-xlarge']","['Menu', 'Menu']","Fried Papad, Roasted Papad, Aloo Jeera, Bhindi Masala, Gulab Jamun, Gajar Halwa.",Casual Dining
0,Atish Ruchik Farmagudi,600 ,"['North Indian', 'Chinese', 'Asian', 'Fast Food']",Farmagudi Ponda Behind Nicmar College South Goa 403401,"https://maps.google.com/?q=15.41812,74.08203",403401,15° 25' 5.2320'' N,74° 4' 55.3080'' E,0,0,0,"['Air Conditioned', 'Cards Accepted', 'Outdoor Seating', 'Roof Top', 'Wallet Accepted']",+91 9212340202,09822589590,['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/n/u/m103955-1645885492621a383489540.jpg?tr=tr:n-xlarge'],['Menu'],"Spring Roll, Noodles, Biryani, Fish thali.",Casual Dining
0,The Den,"1,800 ","['Continental', 'Finger Food']","Sitara Atrium, 4th Floor Colmorod Navelim Margao Near Axis Bank South Goa 403601","https://maps.google.com/?q=15.261883,73.963226",403601,15° 15' 42.7788'' N,73° 57' 47.6136'' E,0,0,0,"['Smoking Area', 'Air Conditioned', 'Lift', 'Wifi', 'Serves Alcohol', 'Live Performance', 'Cards Accepted', 'Dance Floor', 'Wallet Accepted']",+91 9212340202,07715046633,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/g/z/m102581-163904653561b1dd876546b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/x/p/m102581-163904652761b1dd7f2efb5.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/a/s/m102581-163904654361b1dd8fa1bd1.jpg?tr=tr:n-xlarge']","['Food Menu', 'Bar Menu', 'Bar Menu']",Assorted Mushrooms on Polenta Cake with Basil Pesto and Fried Leeks,Nightlife
0,Baked Fusion,400 ,['Desserts'],Sao Jose de Areal Margao  South Goa 403729,"https://maps.google.com/?q=15.248965,74.002181",403729,15° 14' 56.2740'' N,74° 0' 7.8516'' E,0,0,0,['Wifi'],+91 9212340202,08788891529,['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/l/w/m104340-1647940286623992be57277.jpg?tr=tr:n-xlarge'],['Menu'],"Pizza, Desserts.",Bakery
