,Name,Price_for_two,Cuisines,Address,Maps_Link,Pincode,latitude,longitude,Reviews,Votes,Rating,Facilities,Company_Phone,Restaurant_Phone,Menu_Links,Menu_Labels,Bestselling_Items,Restaurant_Type
0,KT- Sero Bar And Restaurant,700 ,"['North Indian', 'Chinese']","622, 1st Floor, Kalani Nagar Airport Road Near Sanjivani Credit Co-operative Society Ltd. West Indore 452006","https://maps.google.com/?q=22.724373,75.825508",452006,22° 43' 27.7428'' N,75° 49' 31.8288'' E,0,0,3,"['Air Conditioned', 'Home Delivery', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,09399245620,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/h/u/m54666-16499203936257c9899a82d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/s/z/m54666-16499203986257c98e0cf4b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/x/q/m54666-16499204026257c99257b4f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/y/k/m54666-16499204076257c997414fa.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/t/q/m54666-16499204116257c99be6108.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/t/w/m54666-16499204416257c9b9655d9.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/o/f/m54666-16499204466257c9be0ea46.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/i/r/m54666-16499204506257c9c23a02c.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']",0,Casual Dining
0,Binge On Burger,600 ,"['Burger', 'Fast Food']","101-D, Sector D Sudama Nagar  South Indore 452009","https://maps.google.com/?q=22.691300,75.828900",452009,22° 41' 28.6800'' N,75° 49' 44.0400'' E,0,0,4.5,"['Parking', 'Outdoor Seating']",+91 9212340202,09340154384,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/j/r/m104287-1647074848622c5e208ad53.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/q/s/m104287-1647074857622c5e29d058d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/i/d/m104287-1647074866622c5e3228134.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu']","Mutton Keema Kebab Burger, Grilled Chicken Burger, Peri Peri Fries, Death Wings, Tandoori Paneer Cheese Roll, Cheese Chilly Garlic Toast.",Cafe
0,Real Paprika,600 ,"['Pizza', 'Fast Food']","2557, E-Sector, Sudama Nagar Ring Road, Footi Kothi Road, Sudama Nagar Near Babancha Custom Motors, South Indore 452009","https://maps.google.com/?q=22.689569,75.828436",452009,22° 41' 22.4484'' N,75° 49' 42.3696'' E,0,0,4.4,"['Air Conditioned', 'Home Delivery', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,08889996140,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/y/i/m106554-16540593936296f1818d237.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/v/e/m106554-16540594006296f1886e2ba.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/k/u/m106554-16540594076296f18f126ce.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu']","Peppy Paneer, Four Season Pizza, Cheese N Spicy Panini, French Fries Cheese.",Casual Dining
0,Your Own Brew Cafe,500 ,"['Fast Food', 'Italian', 'Chinese', 'Beverages']","17, Raj Mohalla South Bhakt Prahlad Nagar Near Bansal Hospital West Indore 452002","https://maps.google.com/?q=22.713854,75.842784",452002,22° 42' 49.8744'' N,75° 50' 34.0224'' E,No Reviews,9 Votes ,0,"['Air Conditioned', 'Wifi', 'Home Delivery', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,09098023235,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/v/t/m72912-16468147466228661a990c8.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/b/b/m72912-164681475262286620eea3f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/d/y/m72912-16468147586228662687753.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/a/v/m72912-16468147646228662cbb0b3.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/t/o/m72912-16468147706228663227cfb.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/x/f/m72912-16468148416228667931498.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/d/z/m72912-1646814848622866801c03b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/q/n/m72912-16468148556228668768d82.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']",0,Cafe
0,Ice Balls and Slice Square,500 ,"['Fast Food', 'Desserts']","622, Narendra Tiwari Marg Sudama Nagar Near UCO Bank South Indore 452009","https://maps.google.com/?q=22.696308,75.834864",452009,22° 41' 46.7088'' N,75° 50' 5.5104'' E,No Reviews,14 Votes ,4,"['Home Delivery', 'Wallet Accepted']",+91 9212340202,09826557343,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/i/g/m5791-16499153896257b5fdbabc1.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/t/m/m5791-16499153946257b602b9e82.jpg?tr=tr:n-xlarge']","['Menu', 'Menu']","Masala Fries, Potato Cheese Shots, Cheese Chutney Sandwich, Red Sauce Pasta, Veg Cheese Pizza, KitKat Shake.",QSR
0,Vegtawa Restaurant,500 ,"['Chinese', 'North Indian']","1877, Ring Road Sudama Nagar Near Black Ink Shade Tattoos South Indore  452009","https://maps.google.com/?q=22.690815,75.828939",452009,22° 41' 26.9340'' N,75° 49' 44.1804'' E,3 Reviews,15 Votes ,3.3,"['Air Conditioned', 'Home Delivery', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,09425063773,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/h/a/m61685-15668832225d64bd96bf559.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/s/r/m61685-15668832305d64bd9e8067e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/p/u/m61685-15668832435d64bdab3eada.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/a/i/m61685-15668832515d64bdb34a474.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/n/s/m61685-15668832585d64bdba87e6e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/j/o/m61685-15668832665d64bdc222bff.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/p/e/m61685-15668832735d64bdc9a6ea6.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/b/k/m61685-15668832805d64bdd059c01.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/v/c/m61685-15668832865d64bdd6e2335.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/j/y/m61685-15668832935d64bdddbcc80.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']",0,Casual Dining
0,Khaanpaan,600 ,"['Chinese', 'North Indian', 'Fast Food']","Gopur Square, 3123 E Sudama Nagar Near Asian Paints South Indore 452001","https://maps.google.com/?q=22.685240,75.828732",452001,22° 41' 6.8640'' N,75° 49' 43.4352'' E,3 Reviews,16 Votes ,4.2,"['Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,0731-4902556,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/v/p/m57695-15591076225cee18263b10b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/o/b/m57695-15591076285cee182c82956.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/z/d/m57695-15591076355cee18331007d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/f/r/m57695-15591076415cee183937abc.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu']",0,Casual Dining
0,Ranjeet's Kitchen,400 ,"['North Indian', 'Chinese']","2563-E, Sector E, Ring Road Sudama Nagar Opposite Bank Of Baroda South Indore 452009","https://maps.google.com/?q=22.689211,75.828482",452009,22° 41' 21.1596'' N,75° 49' 42.5352'' E,7 Reviews,30 Votes ,3.4,"['Air Conditioned', 'Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,09111700026,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/h/b/m5382-163488931461726e6280fd3.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/h/t/m5382-163488933161726e73550b8.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/h/b/m5382-163488933961726e7b34096.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/b/l/m5382-163488934761726e8330916.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/a/q/m5382-163488935561726e8b082d5.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/n/q/m5382-163488936361726e9366f09.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/s/h/m5382-163488937261726e9c9d773.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/y/n/m5382-163488938361726ea728488.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/r/r/m5382-163488939161726eafe3903.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/f/r/m5382-163488941361726ec514ef0.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/g/c/m5382-163488941961726ecbdf532.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']",0,Casual Dining
0,Glory Cafe,300 ,"['Fast Food', 'Beverages']","4, Vishwakarma Nagar, Annapurna Road Annapurna Nagar Near Sai Baba Mandir South Indore 452009","https://maps.google.com/?q=22.692210,75.837102",452009,22° 41' 31.9560'' N,75° 50' 13.5672'' E,1 Reviews,6 Votes ,4.3,"['Home Delivery', 'Wallet Accepted']",+91 9212340202,09755248989,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/g/v/m77541-16499180936257c08de1ec5.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/d/j/m77541-16499180996257c09318820.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/b/i/m77541-16499181046257c09806286.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu']",0,Cafe
0,The ICF Lounge,600 ,"['Chinese', 'North Indian', 'Desserts', 'Fast Food', 'Italian']","E-3124, Sudama Nagar, Sector E, Raja Harish Chand Marg Sudama Nagar Near Fincare Small Finance Bank South Indore 452012","https://maps.google.com/?q=22.685222,75.828765",452012,22° 41' 6.7992'' N,75° 49' 43.5540'' E,8 Reviews,30 Votes ,3.6,"['Air Conditioned', 'Home Delivery', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,08889411112,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/s/g/m54615-15584237405ce3a8bce1506.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/z/f/m54615-15584237595ce3a8cf4e784.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/n/f/m54615-15584237685ce3a8d836e6f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/y/n/m54615-15584237775ce3a8e148616.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/d/g/m54615-15584237855ce3a8e9c76bd.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/n/x/m54615-15584237945ce3a8f26514e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/p/j/m54615-15584238035ce3a8fb2d7d7.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/q/b/m54615-15584238115ce3a903bd14f.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']",0,Casual Dining
