,Name,Price_for_two,Cuisines,Address,Maps_Link,Pincode,latitude,longitude,Reviews,Votes,Rating,Facilities,Company_Phone,Restaurant_Phone,Menu_Links,Menu_Labels,Bestselling_Items,Restaurant_Type
0,Retreat,"2,400 ","['Chinese', 'Italian', 'Fast Food', 'North Indian']","Fortune Heights, C 94, 8th Floor, Subhash Marg C Scheme Near HDFC Bank Central Jaipur 302001","https://maps.google.com/?q=26.915455,75.806445",302001,26° 54' 55.6380'' N,75° 48' 23.2020'' E,59 Reviews,373 Votes ,4.2,"['Smoking Area', 'Air Conditioned', 'Home Delivery', 'Serves Alcohol', 'Parking', 'Live Performance', 'Cards Accepted', 'Outdoor Seating', 'Roof Top']",+91 9212340202,08047483291,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/e/y/m63848-16539741746295a49e64c26.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/j/o/m63848-16539741876295a4abb069c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/c/v/m63848-16539742006295a4b867e7f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/r/y/m63848-16539742136295a4c508e13.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/v/c/m63848-16539742296295a4d517e29.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/m/x/m63848-16539742446295a4e471af0.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/a/r/m63848-164119183761d2999d55e80.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/t/p/m63848-164119186561d299b934f02.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/d/t/m63848-164119187761d299c5bc958.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/a/y/m63848-164119185161d299abcfcad.jpg?tr=tr:n-xlarge']","['Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu']","Dragon Chicken, Chicken 65, Kadai Paneer, Boneless Butter Chicken, Ice Cream, Gulab Jamun.","Casual Dining, Nightlife"
0,LUX Rooftop Lounge & Cafe,"1,500 ","['North Indian', 'Fast Food']","Plot D 51, Ashok Nagar, Subhash Marg C Scheme Near Axis Bank Central Jaipur 302001","https://maps.google.com/?q=26.914358,75.804233",302001,26° 54' 51.6888'' N,75° 48' 15.2388'' E,No Reviews,19 Votes ,4,"['Wifi', 'Valet Available', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Roof Top', 'Wallet Accepted']",+91 9212340202,07357265930,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/c/h/m94146-165779734162cffaddd6522.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/d/n/m94146-1633425361615c17d11b43a.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/k/l/m94146-1633425369615c17d900da0.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/i/x/m94146-1633425379615c17e310752.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/p/d/m94146-1628321047610e3517edf94.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/j/s/m94146-1628321056610e352087b13.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/x/g/m94146-1628321064610e3528557e6.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/f/a/m94146-1628321079610e353701223.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/s/v/m94146-165779739262cffb10c56c8.jpg?tr=tr:n-xlarge']","['Bakery Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Beer Menu']","Mushroom Stuffing, White Wine, Mashed Potatoes, Ravioli, Orange Juice, Cocktail",Casual Dining
0,Skyza,"1,200 ","['Italian', 'North Indian', 'Chinese']","Ambition Tower, 8th Floor, Plot D-46-B, Agarsen Circle C Scheme Near Nippon India Mutual Fund Central Jaipur 302001","https://maps.google.com/?q=26.913102,75.802974",302001,26° 54' 47.1672'' N,75° 48' 10.7064'' E,No Reviews,84 Votes ,4.5,"['Home Delivery', 'Serves Alcohol', 'Parking', 'Live Performance', 'Cards Accepted', 'Roof Top', 'Live Screening', 'Wallet Accepted']",+91 9212340202,08000788870,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/y/c/m94153-163913317261b32ff4acb65.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/i/g/m94153-163913318061b32ffcda41f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/q/s/m94153-163913318961b3300524d2b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/b/v/m94153-163913319661b3300cbeda3.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/y/m/m94153-163913320461b330147fa9a.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/z/p/m94153-163913321261b3301c058bf.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/y/l/m94153-163913321961b330239c284.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/g/t/m94153-163913322761b3302b3ae08.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/t/c/m94153-163913329661b33070c4b2b.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Kasturi Kebab, Quesadilla, Sweet Corn Soup, Mezze Platter, Hakka Noodles, Bruschetta",Casual Dining
0,Lighthouse,"1,800 ","['North Indian', 'Continental', 'Chinese', 'Italian']","The Park Classic, 7th to 10th Floor, Gopalpura Bypass Road Gopalpura  South Jaipur 302017","https://maps.google.com/?q=26.872772,75.776995",302017,26° 52' 21.9792'' N,75° 46' 37.1820'' E,0,0,4.1,"['Smoking Area', 'Air Conditioned', 'Live Performance', 'Cards Accepted', 'Full Bar Available', 'Poolside', 'Private Dining Available', 'Roof Top', 'Live Screening', 'Wallet Accepted']",+91 9212340202,08888773131,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/r/e/m106073-165935986462e7d278857d1.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/r/y/m106073-165935987362e7d28120929.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/w/o/m106073-165935988162e7d2894b994.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/a/h/m106073-165935988962e7d29158016.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/z/t/m106073-165942488762e8d0770c26c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/o/e/m106073-165942489662e8d0800c996.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/r/u/m106073-165942490562e8d08955ad0.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/l/r/m106073-165942491562e8d093b75c3.jpg?tr=tr:n-xlarge']","['Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu']",0,"Nightlife, Microbrewery"
0,Kaleidoscope,"1,900 ","['Italian', 'North Indian', 'Chinese', 'Beverages']","A 2/2, Ashok Nagar, Tilak Marg C Scheme Near Cbi Office Central Jaipur  302005","https://maps.google.com/?q=26.907809,75.801913",302005,26° 54' 28.1124'' N,75° 48' 6.8868'' E,19 Reviews,168 Votes ,4.2,"['Smoking Area', 'Wifi', 'Serves Alcohol', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,0141-6657236,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/z/c/m49869-162539577960e1924394925.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/t/f/m49869-162539578860e1924cbac97.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/w/m/m49869-162539579760e19255354e2.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/r/k/m49869-162539580660e1925e22163.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/h/d/m49869-162539581460e192660b547.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/w/w/m49869-162539582260e1926e1caa1.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/l/x/m49869-162539586760e1929b2df2c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/f/i/m49869-162539587560e192a3d6e2e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/l/m/m49869-162539588460e192ac97efb.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/z/h/m49869-162539589360e192b59d125.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/o/c/m49869-162539590360e192bf20f9a.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/v/y/m49869-162539591060e192c6ae082.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/g/c/m49869-162539591860e192ceb6f48.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/w/t/m49869-162704182360fab01f87861.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/v/g/m49869-1628227186610cc672863da.jpg?tr=tr:n-xlarge']","['Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Bar Menu', 'Bar Menu']",0,Casual Dining
0,Spice Court,"2,400 ","['North Indian', 'Rajasthani', 'Mughlai']","Achrol House, Jacob Road, Civil Lines Near Cox and Kings Office Central Jaipur 302006","https://maps.google.com/?q=26.910857,75.789186",302006,26° 54' 39.0852'' N,75° 47' 21.0696'' E,18 Reviews,55 Votes ,4.2,"['Smoking Area', 'Home Delivery', 'Cards Accepted', 'Outdoor Seating', 'Wallet Accepted']",+91 9212340202,0141-4108252,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/d/k/m5414-16507023166263b7ec6d210.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/a/x/m5414-16507023216263b7f1b443f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/j/r/m5414-16507023276263b7f72a5a9.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/h/q/m5414-16507023326263b7fc56e2c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/g/w/m5414-16507023376263b8013819b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/l/k/m5414-16507023426263b806352ef.jpg?tr=tr:n-xlarge']","['Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Bar Menu']"," Chicken Tikka, Bhuna Chicken, Chicken Biryani, Laas Maas, Keema Bati, Gatta Curry.",Casual Dining
0,Thali and More,"1,000 ","['North Indian', 'Desserts', 'Fast Food', 'Street Food']","C-46 B, 1st Floor, Sarojini Marg C Scheme Near State Bank Of India Central Jaipur 302001 ","https://maps.google.com/?q=26.910921,75.805671",302001,26° 54' 39.3156'' N,75° 48' 20.4156'' E,26 Reviews,168 Votes ,4.4,"['Air Conditioned', 'Home Delivery', 'Live Performance', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,07665604777,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/e/u/m51480-16509821286267fcf01b8d3.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/n/a/m51480-16509821226267fcea6d847.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/d/z/m51480-16509821336267fcf522a1a.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/g/s/m51480-16509821386267fcfa7852d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/p/q/m51480-16509821436267fcff556e6.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/w/d/m51480-16509821486267fd04a133f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/g/y/m51480-16509821536267fd0971ae4.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/g/w/m51480-16509821576267fd0de4648.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/g/q/m51480-16509821626267fd12e2624.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/x/o/m51480-16509821686267fd1832e39.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/b/j/m51480-16509821736267fd1d6de97.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/i/z/m51480-16509821786267fd2217521.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/m/g/m51480-16509821826267fd26d12e2.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/u/c/m51480-16509821886267fd2c25d8e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/c/b/m51480-16509821926267fd30c47f3.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Paper Plain Dosa, Premium Veg Thali, Dal Bhaat Thali, Rajasthani Kadhi, Exotic Sizzler, Churma",Casual Dining
0,Jaipur Adda,"1,900 ","['Fast Food', 'North Indian']","Nirwana Hometel, 4 D Villa, Khasa Kothi Circle, Station Road Bani Park Near Dhamu And Company Central Jaipur 302001","https://maps.google.com/?q=26.921159,75.794823",302001,26° 55' 16.1724'' N,75° 47' 41.3628'' E,20 Reviews,156 Votes ,4.4,"['Air Conditioned', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Outdoor Seating', 'Roof Top', 'Wallet Accepted']",+91 9212340202,08003993681,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/x/p/m51203-15553319545cb47b7266fb2.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/v/q/m51203-15553319605cb47b78ce975.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/k/u/m51203-15553319665cb47b7eeab9d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/w/d/m51203-15553319725cb47b84cb13c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/k/e/m51203-15553319795cb47b8b154fd.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/w/f/m51203-15553319845cb47b90bdbdd.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/f/g/m51203-15553320095cb47ba927aef.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/p/o/m51203-15553320155cb47bafb3387.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/n/g/m51203-15553320215cb47bb5b1822.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/r/s/m51203-15553320285cb47bbc04db8.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/s/n/m51203-15553320335cb47bc1ea2fa.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/l/l/m51203-15553320405cb47bc844161.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/h/k/m51203-15553320465cb47bcec321f.jpg?tr=tr:n-xlarge']","['Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu']","Pineapple Mocktail, Punjabi Pasta, Corn Bhel, Karari Roti, Rajma Chawal, Masala Papad",Casual Dining
0,Napoli Pizzeria & Bistro,800 ,"['Continental', 'Pizza', 'Fast Food']","J 19, Subhash Marg C Scheme Near Pick me Pet Store Central Jaipur 302001","https://maps.google.com/?q=26.905128,75.795849",302001,26° 54' 18.4608'' N,75° 47' 45.0564'' E,4 Reviews,15 Votes ,4.4,"['Wifi', 'Home Delivery', 'Cards Accepted', 'Outdoor Seating', 'Wallet Accepted']",+91 9212340202,09799514874,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/l/n/m71278-16536266536290571d06603.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/c/y/m71278-165362674362905777ef624.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/i/i/m71278-16536267516290577f6bb22.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/r/b/m71278-1653626758629057869c6aa.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/h/e/m71278-16536267656290578d7bfab.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/j/w/m71278-165362677262905794038b5.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/w/m/m71278-16536267786290579a89790.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Neapolitan Style Pizza, Cheesecake, Fries, Pasta, Coffee.",Cafe
0,Brot Company,"1,000 ","['Continental', 'Asian']","5, Jacob Road Civil Lines Near Premier Bars Limited Central Jaipur 302006","https://maps.google.com/?q=26.911706,75.787568",302006,26° 54' 42.1416'' N,75° 47' 15.2448'' E,No Reviews,1 Votes ,0,"['Home Delivery', 'Wallet Accepted']",+91 9212340202,09610999340,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/b/r/m93267-162512438160dd6e1d38753.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/e/k/m93267-162512438960dd6e254b9ca.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/t/j/m93267-162512439760dd6e2dad4e8.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/q/i/m93267-162512440660dd6e360072d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/l/t/m93267-162512441460dd6e3e1f9e9.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/a/s/m93267-162512442160dd6e45e3e53.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/p/t/m93267-162512442960dd6e4dbbe22.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']",0,Cafe
