,Name,Price_for_two,Cuisines,Address,Maps_Link,Pincode,latitude,longitude,Reviews,Votes,Rating,Facilities,Company_Phone,Restaurant_Phone,Menu_Links,Menu_Labels,Bestselling_Items,Restaurant_Type
0,Cafe Watheen,700 ,"['Fast Food', 'Chinese', 'North Indian', 'Beverages']","K A Tower, LFC Road Kaloor Near Axis Bank North Kochi 682017","https://maps.google.com/?q=9.999106,76.290612",682017,9° 59' 56.7816'' N,76° 17' 26.2032'' E,No Reviews,5 Votes ,2.2,"['Air Conditioned', 'Home Delivery', 'Cards Accepted', 'Outdoor Seating', 'Wallet Accepted']",+91 9212340202,09072650091,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/a/o/m59871-15720767795db3fcebd7c84.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/n/v/m59871-15720768205db3fd141a7b8.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/s/g/m59871-15720767735db3fce505fce.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/v/w/m59871-15720767935db3fcf9a4b7f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/q/e/m59871-15720768005db3fd007d583.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/v/k/m59871-15720768365db3fd242a33f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/z/j/m59871-15720768085db3fd08231e5.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/l/d/m59871-15720768445db3fd2cd456c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/x/n/m59871-15720767655db3fcddcd0c0.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/v/k/m59871-15720768645db3fd40ef701.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/t/l/m59871-15720767865db3fcf2d09f9.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/c/c/m59871-15720768285db3fd1c60b5e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/b/r/m59871-15720768565db3fd38e1c96.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/o/p/m59871-15720768955db3fd5f1cdb4.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Veg Finger, Butter Chicken, Chicken Patyala, Paneer Kadai, Mushroom Chilly, Royal Falooda.",Cafe
0,Coral Reef,"1,200 ","['North Indian', 'Continental', 'Kerala']","Coral Isle Hotel, St Benedict Road Kacheripadi Near Krishna Gas Agencies North Kochi 682018","https://maps.google.com/?q=9.991886,76.285622",682018,9° 59' 30.7896'' N,76° 17' 8.2392'' E,3 Reviews,11 Votes ,3.9,"['Smoking Area', 'Air Conditioned', 'Valet Available', 'Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,0484-2922300,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/v/b/m59705-164371160861f90c7835e0c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/l/v/m59705-164371161261f90c7c3bf94.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/a/q/m59705-164371161661f90c80c1b42.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/y/l/m59705-164371162161f90c8559fd2.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/e/g/m59705-164371162561f90c89eb0b6.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu']","French Fries, Tandoori Subzi, Vegetable Tampura, Mushroom Paper Fry, Chicken Lollipop, Beef Coconut Fry.",Fine Dining
0,Miam,800 ,"['North Indian', 'Italian', 'Chinese', 'Continental']","Luminara Hotel, Paramara Road, Ernakulam North Kacheripadi Near Kerala State Backward Classes Development Corporation Ltd. North Kochi 682018","https://maps.google.com/?q=9.990014,76.284985",682018,9° 59' 24.0504'' N,76° 17' 5.9460'' E,4 Reviews,17 Votes ,4.4,Not Found,+91 9212340202,0484-2882700,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/c/x/m60331-15732101745dc5483e49fad.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/t/d/m60331-15732101815dc54845cd1a4.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/a/t/m60331-15732101895dc5484db30d4.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/s/j/m60331-15732101985dc548567c2d1.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/m/t/m60331-15732102055dc5485dd87aa.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/l/k/m60331-15732101505dc54826a857c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/u/v/m60331-15732101585dc5482e8a089.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/i/z/m60331-15732101655dc54835a6739.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/z/l/m60331-15732102295dc54875b64a1.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/m/s/m60331-15732102375dc5487dc8ff7.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/h/w/m60331-15732102465dc548866dc7c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/g/v/m60331-15732102545dc5488e227b2.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/t/r/m60331-15732102215dc5486d974a8.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/c/q/m60331-15732102775dc548a5f283a.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/t/q/m60331-15732102855dc548ae00259.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/s/r/m60331-15732102935dc548b5ebc3d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/v/y/m60331-15732102625dc548962b6b3.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/s/u/m60331-15732102695dc5489de0167.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/q/b/m60331-15732102145dc5486617ccd.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/i/h/m60331-15732101435dc5481f3753a.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']",0,Casual Dining
0,Upper Birth,"1,500 ","['Chinese', 'Continental']","Coral Isle Hotel, St Benedict Road Kacheripadi Near Krishna Gas Agencies North Kochi 682018","https://maps.google.com/?q=9.991888,76.285628",682018,9° 59' 30.7968'' N,76° 17' 8.2608'' E,2 Reviews,11 Votes ,3.8,"['Smoking Area', 'Air Conditioned', 'Valet Available', 'Home Delivery', 'Parking', 'Cards Accepted', 'Outdoor Seating', 'Roof Top', 'Wallet Accepted']",+91 9212340202,0484-2922300,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/y/q/m59703-15638921695d3719c917ec9.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/g/h/m59703-15638921755d3719cf3b3d5.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/t/s/m59703-15638921805d3719d4f367b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/a/n/m59703-15638921865d3719daabf1f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/n/n/m59703-15638921925d3719e0d8f62.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/l/m/m59703-15638921995d3719e70bad5.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/t/y/m59703-15638922055d3719ed08c6f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/k/m/m59703-15638922105d3719f2912ee.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Kesari Paneer Tikka, Tandoori Phool, Egg Chilly Dry, Chicken Tikka, Dal Fry, Gulab Jamun.",Casual Dining
0,Cafe Coffee Day,700 ,"['Beverages', 'Fast Food']","Express Garden, Ground Floor, 235/7, SY 235/4, Kaloor - Kadavanthara Road Elamkulam Near Express Gardens South Kochi 682017","https://maps.google.com/?q=9.992071,76.293175",682017,9° 59' 31.4556'' N,76° 17' 35.4300'' E,0,0,3.5,"['Air Conditioned', 'Wifi', 'Home Delivery', 'Cards Accepted']",+91 9212340202,06363924049,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/l/b/m6488-164189977461dd66fe845a7.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/k/g/m6488-164189978361dd670700236.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/b/i/m6488-164189979161dd670f71604.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/n/g/m6488-164189979861dd6716b8d7e.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu']","Devils Own, Chilli Cheese Toast, Cold Dark Frappe, Spinach 'N' Corn Chipotle Sandwich, Cocoa Fantasy Pastry, Cofee.",Cafe
0,Barbeque Nation,"2,000 ","['North Indian', 'Chinese']","Imperial Trade Centre, 6th Floor, Mahatma Gandhi Road Kacheripadi Near Cult MG Road Fitness center North Kochi 682035","https://maps.google.com/?q=9.982866,76.282071",682035,9° 58' 58.3176'' N,76° 16' 55.4556'' E,16 Reviews,86 Votes ,4.2,"['Air Conditioned', 'Wifi', 'Parking', 'Cards Accepted']",+91 9212340202,08069028706,['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/n/r/m63794-16615192786308c5aed97c1.jpg?tr=tr:n-xlarge'],['Menu'],"Palak Chaat, Roasted Wings, Chicken Fried Rice, Kofta Curry, Ice Cream, Gulab Jamun.",Casual Dining
0,Liquid State,800 ,['Finger Food'],"Luminara Hotel, Ground Floor, Paramara Road, Ernakulam North Kacheripadi Opposite Kerala State Backward Classes Development Corporation Ltd. North Kochi 682018","https://maps.google.com/?q=9.990023,76.284984",682018,9° 59' 24.0828'' N,76° 17' 5.9424'' E,No Reviews,2 Votes ,4,"['Air Conditioned', 'Wifi', 'Parking', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,0484-2882700,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/b/u/m60314-15659516185d568682c1e9a.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/q/o/m60314-15659516265d56868ace429.jpg?tr=tr:n-xlarge']","['Menu', 'Menu']","Chicken 65, Chilly Chicken, Spicy Batter Fried Chicken, Dragon Chicken, Dry Hot Beef, Beef Ularthu.","5 Star, Casual Dining"
0,Dosa World,200 ,"['South Indian', 'Beverages']","Paramara Road, Ernakulam North Kacheripadi Near United India Insurance Co. North Kochi 682018","https://maps.google.com/?q=9.990121,76.285018",682018,9° 59' 24.4356'' N,76° 17' 6.0648'' E,4 Reviews,12 Votes ,3.4,"['Air Conditioned', 'Home Delivery', 'Wallet Accepted']",+91 9212340202,09745358581,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/g/z/m60339-15628222265d26c6522a6d9.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/t/d/m60339-15628222375d26c65d8a0a4.jpg?tr=tr:n-xlarge']","['Menu', 'Menu']","Vada, Potato Masala, Ghee Chapati, Ghee Masala Dosa, Podi Masala Dosa, Mushroom Butter Roast Dosa.",Casual Dining
0,Burgeria,500 ,['Fast Food'],"Uni Square, Kathrikadavu, Kaloor - Kadavanthara Road Kaloor Opp To Venus Zone North Kochi 682017","https://maps.google.com/?q=9.988758,76.295538",682017,9° 59' 19.5288'' N,76° 17' 43.9368'' E,No Reviews,5 Votes ,3.8,"['Air Conditioned', 'Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,0484-4864855,['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/e/u/m60007-15645557915d413a0f59642.jpg?tr=tr:n-xlarge'],['Menu'],0,QSR
0,ChaiCofi,800 ,"['Fast Food', 'Continental']","Arammal Tower, Kaloor-Kadavanthara Road Kaloor Near Innovative Life Styles North Kochi 682017","https://maps.google.com/?q=9.987947,76.297358",682017,9° 59' 16.6092'' N,76° 17' 50.4888'' E,No Reviews,19 Votes ,4.2,"['Air Conditioned', 'Wifi', 'Home Delivery', 'Parking', 'Cards Accepted', 'Live Screening', 'Wallet Accepted']",+91 9212340202,0484-6195010,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/b/f/m59328-15616332135d14a1bd560ae.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/f/o/m59328-15616332215d14a1c5cc193.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/y/w/m59328-15616332285d14a1cc50af2.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/p/s/m59328-15616332375d14a1d51e7d8.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/i/p/m59328-15616332455d14a1dd8fcc4.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/n/q/m59328-15616332515d14a1e32effd.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/x/m/m59328-15616332575d14a1e9b6b13.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/l/a/m59328-15616332655d14a1f1bf350.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/x/k/m59328-15616332725d14a1f84a670.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/u/v/m59328-15616332785d14a1fee9d50.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/g/y/m59328-15616332855d14a2056d672.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/q/n/m59328-15616332925d14a20c12628.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/a/f/m59328-15616332975d14a2117fc23.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/m/x/m59328-15616333035d14a2171fbf3.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Spicy Tuna, Pesto Sandwich, Nutella Crepe, Beef Lasagna, Lasagne, Waffles.",Cafe
