,Name,Price_for_two,Cuisines,Address,Maps_Link,Pincode,latitude,longitude,Reviews,Votes,Rating,Facilities,Company_Phone,Restaurant_Phone,Menu_Links,Menu_Labels,Bestselling_Items,Restaurant_Type
0,Pawan Putra,"1,700 ","['Chinese', 'North Indian', 'Continental']","97, Ground Floor, Hem Chandra Naskar Road, Phool Bagan Kankurgachhi Near Bakshi Orthopedic Centre And Trauma Care East Kolkata 700010","https://maps.google.com/?q=22.57913,88.379271",700010,22° 34' 44.8680'' N,88° 22' 45.3756'' E,49 Reviews,308 Votes ,4.2,"['Air Conditioned', 'Home Delivery', 'Parking', 'Cards Accepted']",+91 9212340202,09681230187,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/l/k/m18961-164017340661c30f5eb1eb4.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/c/i/m18961-164017341461c30f666ee58.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/y/x/m18961-164017342161c30f6ddbad9.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/s/l/m18961-164017342961c30f75b6f99.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/b/u/m18961-164017343761c30f7dd0129.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/k/m/m18961-164017344561c30f85aae4c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/c/r/m18961-164017345761c30f91445e9.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/q/a/m18961-164017349361c30fb5662b3.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/u/b/m18961-164017350061c30fbcf1215.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/r/a/m18961-164017350861c30fc42abff.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/q/x/m18961-164017351661c30fcc0c6ea.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/l/a/m18961-164017352361c30fd3c8498.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/n/r/m18961-164017353161c30fdb986d9.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/g/r/m18961-164017354061c30fe41e715.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/f/v/m18961-164017359061c310163206d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/z/s/m18961-164017359861c3101e1917b.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Shahi Malai Kofta, Kashmiri Naan, Corn Palak, Cheese Garlic Naan, Hot Gulab Jamun, Club Kachori.",Casual Dining
0,Zobet,"1,000 ","['Modern Indian', 'Sushi', 'Fast Food', 'Asian']","Fort Knox Mall, 6, 4th Floor, Abanindra Nath Thakur Sarani Camac Street Near Vardan Market Central Kolkata 700017","https://maps.google.com/?q=22.54438,88.349846",700017,22° 32' 39.7680'' N,88° 20' 59.4456'' E,23 Reviews,248 Votes ,4.4,"['Smoking Area', 'Air Conditioned', 'Lift', 'Wifi', 'Home Delivery', 'Parking', 'Cards Accepted', 'Full Bar Available', 'Live Screening']",+91 9212340202,09163911011,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/v/b/m82462-16510386246268d9a099a85.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/f/n/m82462-16510386306268d9a6ad835.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/z/x/m82462-16510386376268d9ad554c4.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/n/e/m82462-16510386446268d9b42b172.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/f/y/m82462-16510386506268d9ba5afe8.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/j/k/m82462-16510386576268d9c108fa8.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/a/k/m82462-16510386636268d9c79dc89.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/u/m/m82462-16510386706268d9ce9bbf0.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/a/k/m82462-16510386776268d9d53773a.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/v/p/m82462-16510386836268d9dbd76cf.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/h/h/m82462-164197112561de7db5749e0.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/h/k/m82462-164197113661de7dc02eec9.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/h/j/m82462-164197114361de7dc7f221e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/d/j/m82462-164197115161de7dcfe8db6.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/w/s/m82462-164197115961de7dd79a1f5.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/u/h/m82462-164197116661de7ddea2228.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/b/m/m82462-164197117461de7de63ec16.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/k/n/m82462-164197120961de7e096054a.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/w/k/m82462-164197121761de7e116d125.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/w/u/m82462-164197122461de7e1871913.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/p/g/m82462-164197123161de7e1fb6ec4.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/i/u/m82462-164197124061de7e2811bc2.jpg?tr=tr:n-xlarge']","['Sushi Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu']","Dumplings, Cocktails, Cheesecake, Drinks, Pizza, Chicken.",Casual Dining
0,Jungle Safari,"1,100 ","['North Indian', 'Italian']","Mani Square Mall, 4th Floor, 164/1, Maniktala Main Road, E.M. Bypass Kankurgachhi Near Mani Casa East Kolkata 700054","https://maps.google.com/?q=22.577774,88.400467",700054,22° 34' 39.9864'' N,88° 24' 1.6812'' E,59 Reviews,374 Votes ,4.3,"['Air Conditioned', 'Lift', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,033-23202182,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/d/p/m46886-165942440062e8ce90cdc1a.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/w/l/m46886-165942440762e8ce97d25e0.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/h/m/m46886-165942441462e8ce9ed7408.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/d/s/m46886-165942442262e8cea631c34.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/u/z/m46886-165942442962e8cead1ec88.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/j/o/m46886-165942443562e8ceb3d182b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/l/a/m46886-165942444362e8cebb46161.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/r/e/m46886-165942445062e8cec26473d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/v/t/m46886-165942445762e8cec987889.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Tipsy Tarzan, Forest Fire, Kaa's Venom",Casual Dining
0,Caafe 360 Degree,"1,000 ","['Chinese', 'Italian', 'Fast Food']","P-148/A, Ground floor, Scheme VI M, CIT Road, Kankurgachhi Near Shiv Mandir East Kolkata 700054","https://maps.google.com/?q=22.57671,88.391038",700054,22° 34' 36.1560'' N,88° 23' 27.7368'' E,53 Reviews,736 Votes ,4.5,"['Air Conditioned', 'Wifi', 'Parking', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,033-40630360,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/c/x/m25868-1646125663621de25f0d499.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/c/b/m25868-1646125677621de26d7b8b8.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/k/s/m25868-1646125693621de27d98942.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/t/e/m25868-1646125709621de28d448bb.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/z/l/m25868-1646125724621de29cdc892.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/s/z/m25868-1646125771621de2cb7f570.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/p/h/m25868-1646125778621de2d2e479f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/j/p/m25868-1646125787621de2db69bca.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/s/f/m25868-1646125795621de2e3b051d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/x/e/m25868-1646125615621de22f9476c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/y/x/m25868-1646125646621de24e85dd9.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/w/e/m25868-1646125630621de23e3e7d4.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Kit Kat Shake, Mexican Rice, Mixed Sauce Pasta, Hot Chocolate.",Cafe
0,Zaairah,"1,200 ","['North Indian', 'Chinese', 'Italian']","EC 18, Ground Floor, Sector 1 Salt Lake Opposite City Center Metro East Kolkata 700064","https://maps.google.com/?q=22.587108,88.408389",700064,22° 35' 13.5888'' N,88° 24' 30.2004'' E,101 Reviews,686 Votes ,4.2,"['Air Conditioned', 'Wifi', 'Valet Available', 'Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,09874977771,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/v/r/m48242-163375806161612b6d44748.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/n/w/m48242-163375806661612b72d1dc1.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/n/q/m48242-163375807261612b78852a3.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/e/a/m48242-163375807861612b7e54aa0.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/z/z/m48242-163375808361612b83eaff2.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/a/r/m48242-163375808961612b89dbf81.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/i/j/m48242-163375809561612b8f73179.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/m/l/m48242-163375810161612b957d703.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/t/u/m48242-163375810761612b9b993d9.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/k/h/m48242-163375811361612ba1874e0.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Dal Makhani, Paneer Aap ki Pasand, Pasta",Casual Dining
0,Fly Kouzina,"1,600 ","['North Indian', 'Chinese', 'Continental']","73, Ground Floor, Block AD, Sector 1 Salt Lake Near BD Market Bus Stop East Kolkata 700064","https://maps.google.com/?q=22.595291,88.40583",700064,22° 35' 43.0476'' N,88° 24' 20.9880'' E,223 Reviews,1768 Votes ,4.4,"['Air Conditioned', 'Wifi', 'Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,033-40631002,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/q/u/m19340-1663651956632950743469e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/y/w/m19340-16636519466329506a706c0.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/c/s/m19340-16636519396329506345711.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/c/b/m19340-16636519146329504ad20e1.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/y/m/m19340-1663651907632950431beab.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/j/h/m19340-16636518996329503b61e95.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/t/g/m19340-166365189163295033e934a.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/b/t/m19340-16636518826329502ab93c4.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/c/s/m19340-1663651863632950178939e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/i/a/m19340-1663651873632950211b546.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/j/d/m19340-164976873962557923537b3.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/o/w/m19340-16497687466255792a3d136.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/g/v/m19340-164976875462557932a3999.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/s/d/m19340-16497687636255793b0f976.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/m/b/m19340-164976877062557942ee07e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/z/a/m19340-16497687816255794ddd48c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/g/e/m19340-16497687946255795acd9d6.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/n/i/m19340-1649768802625579627a1a6.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/t/c/m19340-16497688106255796a2def7.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/p/s/m19340-164976885662557998d3edb.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/j/f/m19340-1649768865625579a11d12c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/h/f/m19340-1649768872625579a8ebdb3.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/b/p/m19340-1649768881625579b1194c8.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/g/o/m19340-1649768888625579b8876ed.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/g/q/m19340-1649768895625579bfcdd48.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/l/q/m19340-1649768904625579c8278e4.jpg?tr=tr:n-xlarge']","['Durga Puja Menu', 'Durga Puja Menu', 'Durga Puja Menu', 'Durga Puja Menu', 'Durga Puja Menu', 'Durga Puja Menu', 'Durga Puja Menu', 'Durga Puja Menu', 'Durga Puja Menu', 'Durga Puja Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu']","Pizza Kouzina, Mushroom Cream Soup, Strawberry Margarita, Chocolate Walnut Brownie, Pudina Paratha, Paneer Makhani.",Casual Dining
0,Danish Restaurant,500 ,"['Mughlai', 'North Indian']","155/H/7, Ground And 1st Floor, Keshab Chandra Sen Street Machuabazar Near Tree House Play Group North Kolkata 700009","https://maps.google.com/?q=22.577055,88.373347",700009,22° 34' 37.3980'' N,88° 22' 24.0492'' E,1 Reviews,8 Votes ,4.4,"['Air Conditioned', 'Home Delivery', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,09088799125,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/h/b/m75184-16076937325fd375a4d2f7f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/f/p/m75184-16076937405fd375ac6eb57.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/i/w/m75184-16076937475fd375b35dac4.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu']",0,QSR
0,Fantastic Food Story,800 ,"['Chinese', 'North Indian', 'Continental']","48, Ground Floor, Vivekananda Road, Hati Bagan Near Oriental Bank of Commerce Girish Park Branch, North Kolkata 700006","https://maps.google.com/?q=22.585993,88.363582",700006,22° 35' 9.5748'' N,88° 21' 48.8952'' E,25 Reviews,124 Votes ,4.2,"['Air Conditioned', 'Home Delivery', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,033-40448005,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/x/g/m27355-16542560826299f1d2e834e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/h/d/m27355-16542560896299f1d9d63ce.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/z/q/m27355-16542560976299f1e19d318.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/n/l/m27355-16542561056299f1e9441ef.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/h/v/m27355-16542561126299f1f049dda.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/i/d/m27355-16542561196299f1f7308e4.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/n/h/m27355-16542561266299f1fe39e88.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/z/t/m27355-16542561336299f2056a73d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/g/d/m27355-16542561626299f2228f55f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/v/a/m27355-16542561696299f2293f507.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Jeera Rice, Malai Kofta, Masala Dosa, Dal Makhani, Hakka Noodles.",Casual Dining
0,Flame & Grill,"2,000 ","['Bengali', 'North Indian']","Mani Square Mall, 164/1, 4th Floor, Maniktala Main Road Kankurgachhi Near Mani Casa East Kolkata 700054","https://maps.google.com/?q=22.577945,88.400283",700054,22° 34' 40.6020'' N,88° 24' 1.0188'' E,32 Reviews,213 Votes ,4.3,"['Air Conditioned', 'Lift', 'Wifi', 'Serves Alcohol', 'Parking', 'Differently Abled Friendly', 'Cards Accepted', 'Full Bar Available']",+91 9212340202,033-23202186,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/a/b/m1669-165942366962e8cbb568d89.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/x/t/m1669-165942367762e8cbbd711bf.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/z/j/m1669-165942368562e8cbc5952f1.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/o/h/m1669-165942369362e8cbcd4031c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/x/w/m1669-165942370062e8cbd4d53b2.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/r/z/m1669-165942370862e8cbdc0799f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/u/d/m1669-165942371762e8cbe5b3555.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/h/q/m1669-165942374562e8cc01cec56.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/s/v/m1669-165942375362e8cc093b637.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/g/j/m1669-165942376062e8cc1081e9a.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/r/v/m1669-165942376862e8cc186942b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/m/x/m1669-165942377662e8cc203d42f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/s/d/m1669-165942378462e8cc282cd13.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Prawn Kebab, Tandoori Chicken, Peru Pyala, Towering Inferno.",Casual Dining
0,K Local,"1,700 ","['Finger Food', 'North Indian', 'Fast Food']","City Center 1, 3rd Floor, Block DC, Sector 1 Salt Lake Near Kalyan Jewellers East Kolkata 700064","https://maps.google.com/?q=22.588316,88.408678",700064,22° 35' 17.9376'' N,88° 24' 31.2408'' E,124 Reviews,923 Votes ,4,"['Smoking Area', 'Air Conditioned', 'Lift', 'Serves Alcohol', 'Parking', 'Differently Abled Friendly', 'Live Performance', 'Cards Accepted', 'Outdoor Seating', 'Roof Top', 'Wallet Accepted']",+91 9212340202,09007443848,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/t/p/m40797-16289403646117a84cc1047.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/e/j/m40797-16289403736117a85546034.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/m/s/m40797-16289403816117a85d30452.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/s/m/m40797-16289403896117a86562f5d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/m/v/m40797-16289403976117a86d2e5c4.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/y/l/m40797-1628853180611653bc753eb.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/l/k/m40797-1628853188611653c4de84e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/h/d/m40797-1628853196611653cce4c01.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/i/b/m40797-1628853204611653d4275fd.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/p/x/m40797-1628853211611653db1ea34.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/k/f/m40797-1628853218611653e20221f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/d/b/m40797-1628853225611653e92b059.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/h/z/m40797-1628853233611653f119a5f.jpg?tr=tr:n-xlarge']","['Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu']","Spinach and Parmesan Risotto, Thai Green Curry, Grilled Chicken Breast, Moroccan Chicken, Grilled Salmon, Malai Chicken Tikka.",Casual Dining
