,Name,Price_for_two,Cuisines,Address,Maps_Link,Pincode,latitude,longitude,Reviews,Votes,Rating,Facilities,Company_Phone,Restaurant_Phone,Menu_Links,Menu_Labels,Bestselling_Items,Restaurant_Type
0,Tanatan,"1,600 ","['North Indian', 'Awadhi', 'Malvani']","Durga Bhawan, 94, Ground & 1st Floor, Mahatma Gandhi Marg Hazratganj Near Punjab National Bank Central Lucknow 226001","https://maps.google.com/?q=26.84360,80.94707",226001,26° 50' 36.9600'' N,80° 56' 49.4520'' E,No Reviews,20 Votes ,4,"['Air Conditioned', 'Wifi', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,09619325945,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/q/r/m89909-165935853662e7cd48b5525.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/m/q/m89909-165935854462e7cd5012b73.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/k/a/m89909-165935855262e7cd580fa81.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/n/j/m89909-165935855962e7cd5fe6ce5.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/j/c/m89909-165935856762e7cd676be47.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/y/m/m89909-165935857562e7cd6f64ca8.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/z/o/m89909-165935858362e7cd77ac16d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/y/i/m89909-165935859162e7cd7f5e2c1.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Nawabi Murgh Tikka, Shami Kebab, Lehsuni Palak Paneer, Laal Maas, Shahi Tukda, Mataka Rabri Gulab Jamun.",Casual Dining
0,Caprice,"1,700 ","['Continental', 'North Indian', 'Chinese', 'Awadhi']","Radisson Lucknow City Center, 24, Cantonment Road Aminabad Near H.A Tour and travels Central Lucknow 226001","https://maps.google.com/?q=26.845668,80.935345",226001,26° 50' 44.4048'' N,80° 56' 7.2420'' E,19 Reviews,120 Votes ,4.2,"['Air Conditioned', 'Valet Available', 'Parking', 'Differently Abled Friendly', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,0522-4299999,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/w/p/m56603-15571445235cd023cba7d1c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/v/o/m56603-15571445295cd023d14c419.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/o/j/m56603-15571445355cd023d710f67.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/q/b/m56603-15571445405cd023dc6f795.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/y/h/m56603-15571445465cd023e22138c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/x/h/m56603-15571445515cd023e799330.jpg?tr=tr:n-xlarge']","['Breakfast  Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu']","Tandoori Chicken Tikka, Chilli Chicken, Hare Masale ka Paneer, Nihari Ghost, Hyderabadi Murg Biryani, Gulab Jamun.","5 Star, Casual Dining"
0,Altitude,"3,100 ","['Continental', 'Finger Food', 'Italian', 'North Indian', 'Beverages']","Radisson Lucknow City Center, 24, Kaiserbagh Officer's Colony, Cantonment Road, Aminabad Near Jaglasevar Mandir Central Lucknow 226001","https://maps.google.com/?q=26.845666,80.935343",226001,26° 50' 44.3976'' N,80° 56' 7.2348'' E,6 Reviews,45 Votes ,4.3,"['Smoking Area', 'Air Conditioned', 'Cards Accepted', 'Full Bar Available', 'Roof Top', 'Wallet Accepted']",+91 9212340202,0522-4299999,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/u/x/m54432-15532576045c94d48488b63.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/f/r/m54432-15532576095c94d4892e858.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/l/s/m54432-15532576145c94d48e4ed48.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/h/y/m54432-15532576345c94d4a22c961.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/d/o/m54432-15532576245c94d49894e6b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/g/c/m54432-15532576195c94d493759b8.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/a/q/m54432-15532576295c94d49d75c04.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/o/l/m54432-15532576385c94d4a6c54e5.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/l/p/m54432-15532575995c94d47fa53c2.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/h/i/m54432-15532576495c94d4b142932.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/p/f/m54432-15532576445c94d4ac1027c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/j/h/m54432-15532576925c94d4dc1fcd1.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/g/q/m54432-15532576975c94d4e1cb028.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/i/l/m54432-15532577035c94d4e769384.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/o/o/m54432-15532577085c94d4ec2f700.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/y/w/m54432-15532577135c94d4f16f7f2.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/f/l/m54432-15532577195c94d4f74cd21.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/z/h/m54432-15532577245c94d4fcec3f5.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/a/e/m54432-15532577305c94d50264064.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/d/u/m54432-15580097765cdd57b0ee3b6.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/t/m/m54432-15580097825cdd57b6bde63.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/z/o/m54432-15580097885cdd57bcb5e5c.jpg?tr=tr:n-xlarge']","['Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu']","Dimsum, Chutney Paneer Tikka, Peri Peri Chicken Pizza, Chicken Risotto, Mutton Biryani, Prawns Fish.","5 Star, Fine Dining"
0,Royal Cafe,900 ,"['North Indian', 'Chinese', 'Continental', 'Fast Food']","Royal Inn, 9/7, 2nd Floor, Shahnajaf Road Hazratganj Opposite Sahara Ganj Mall Central Lucknow 226001","https://maps.google.com/?q=26.855420,80.945218",226001,26° 51' 19.5120'' N,80° 56' 42.7848'' E,6 Reviews,49 Votes ,4.3,"['Air Conditioned', 'Home Delivery', 'Cards Accepted', 'Candle Light Dinner', 'Outdoor Seating', 'Wallet Accepted']",+91 9212340202,0522-4095555,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/y/j/m3383-15580810715cde6e2f49e0e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/m/x/m3383-15580810775cde6e35d3051.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/f/r/m3383-15580810865cde6e3e3d60f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/e/p/m3383-15580810925cde6e44c06e4.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/j/s/m3383-15580810995cde6e4b83aa8.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/b/b/m3383-15580811065cde6e529ae96.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/u/a/m3383-15580811135cde6e5931c45.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/z/u/m3383-15580811195cde6e5f7275e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/s/f/m3383-15580811255cde6e65835ba.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/c/t/m3383-15580811325cde6e6c3bda5.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/f/x/m3383-15580811385cde6e729acc6.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Basket Chat, Peking Soup, Paneer Tikka, Butter Chicken, Desserts, Naan.",Casual Dining
0,Branche,"1,800 ","['Continental', 'North Indian', 'Chinese']","Golden Tulip Lucknow, 6, 1st Floor, Station Road Husainganj Blue Body Massage and Unisex Salon Central Lucknow 226001","https://maps.google.com/?q=26.83824,80.93472",226001,26° 50' 17.6640'' N,80° 56' 4.9920'' E,13 Reviews,71 Votes ,4.4,"['Air Conditioned', 'Wifi', 'Valet Available', 'Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,0522-6722000,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/d/l/m17524-15569328665ccce90268459.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/o/t/m17524-15569328725ccce90892783.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/h/o/m17524-15569328795ccce90f175e2.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/b/a/m17524-15569328855ccce9156d7a9.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/p/k/m17524-15569328915ccce91be946e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/o/t/m17524-15569328985ccce9221932f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/o/k/m17524-15569329045ccce92876e46.jpg?tr=tr:n-xlarge']","['Breakfast  Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu']","Paneer Tikka, Dry Chilli Chicken, Paneer Do Pyaza, Murgh Tikka Masala, Chicken Handi Biryani, Gulab Jamun.",Casual Dining
0,Home Sweet Home,700 ,"['North Indian', 'Pizza']","Halwasiya, 3rd Floor, House 11, M.G. Road Hazratganj Near Louis Philippe Central Lucknow 226001","https://maps.google.com/?q=26.850818,80.941119",226001,26° 51' 2.9448'' N,80° 56' 28.0284'' E,1 Reviews,13 Votes ,4.1,"['Air Conditioned', 'Home Delivery', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,09958095393,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/r/a/m82546-1650106186625a9f4a6221c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/u/y/m82546-1650106196625a9f54b430a.jpg?tr=tr:n-xlarge']","['Menu', 'Menu']","Shahi Paneer Makhani, Mutton Kakori, Sticky Rice, Chicken Tikka Pizza, Chicken Dum Biryani, Thai Curry.",Casual Dining
0,Nawabeen's Awadhi Restaurant,"1,200 ",['North Indian'],"3, Quinton Road Lalbagh Near Nishat Hospital Central Lucknow 226001","https://maps.google.com/?q=26.849634,80.935715",226001,26° 50' 58.6824'' N,80° 56' 8.5740'' E,5 Reviews,29 Votes ,4.4,"['Air Conditioned', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,0522-4307733,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/k/d/m56480-15568204645ccb31f0707ae.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/i/b/m56480-15568204775ccb31fd39022.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/w/g/m56480-15568204705ccb31f6d4d20.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/d/q/m56480-15568204835ccb3203f3cfc.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/n/o/m56480-15568204905ccb320a90075.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/a/v/m56480-15568204965ccb3210f2484.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Afghani Murgh Tikka, Kulcha Nihari, Tandoori Roti, Tikka.",Casual Dining
0,Branche Bar,"4,000 ","['North Indian', 'Finger Food']","Golden Tulip Lucknow, 6, 1st Floor, Station Road Husainganj Near Aarif Auto Service Work Car Service Central Lucknow 226001","https://maps.google.com/?q=26.838230,80.934719",226001,26° 50' 17.6280'' N,80° 56' 4.9884'' E,1 Reviews,9 Votes ,4.4,"['Air Conditioned', 'Wifi', 'Home Delivery', 'Serves Alcohol', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,0522-6722000,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/n/h/m56414-15586220255ce6af49c4184.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/r/i/m56414-15586220325ce6af502e50f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/y/q/m56414-15586220385ce6af560f731.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/k/c/m56414-15586220445ce6af5c4fc3f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/c/r/m56414-15586220515ce6af6303d40.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/h/m/m56414-15586220575ce6af69e88ca.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/y/p/m56414-15586220645ce6af7022f13.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/x/c/m56414-15586220915ce6af8bf31ea.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/l/h/m56414-15586220975ce6af919fe26.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/c/y/m56414-15586221035ce6af97282ca.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/w/z/m56414-15586221105ce6af9e74b74.jpg?tr=tr:n-xlarge']","['Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu']","Grilled Chicken, Paneer Tikka, Dal Tadka, Kadhai Paneer, Murgh Tikka Masala, 3 Plain Phulka, Mewa Halwa, Gulab Jamun.",Lounge
0,Zayka E Radiant,"1,200 ","['Chinese', 'North Indian', 'Continental']","The Grand Radiant, Cantonment Road Lalbagh Near Praveen Petrol Pump Central Lucknow 226001","https://maps.google.com/?q=26.842667,80.936578",226001,26° 50' 33.6012'' N,80° 56' 11.6808'' E,No Reviews,4 Votes ,3.3,"['Wifi', 'Parking', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,0522-2200008,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/h/z/m56413-15568140255ccb18c91a4f7.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/p/i/m56413-15568140315ccb18cf282e8.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/w/c/m56413-15568140625ccb18ee051b3.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/n/k/m56413-15568140375ccb18d587039.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/y/q/m56413-15568140435ccb18db7dbe4.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/d/d/m56413-15568140495ccb18e19993a.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/a/x/m56413-15568140555ccb18e7ced53.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/d/h/m56413-15568140685ccb18f439a44.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/b/r/m56413-15568140745ccb18fa4f50c.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']",0,Not Mentioned
0,Kudos Club,600 ,[],"47/11, VS Marg, Udaiganj Husainganj  Central Lucknow 226001","https://maps.google.com/?q=26.842849,80.941846",226001,26° 50' 34.2564'' N,80° 56' 30.6456'' E,2 Reviews,6 Votes ,4.5,['Air Conditioned'],+91 9212340202,0,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/r/w/m75198-15797939565e29be2454ca7.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/m/h/m75198-15797939625e29be2a99950.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/r/k/m75198-15797939705e29be32b2033.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/y/o/m75198-15797939775e29be39737d6.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/t/y/m75198-15797939835e29be3f861d9.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/x/p/m75198-15797939905e29be462a86a.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']",0,QSR
