,Name,Price_for_two,Cuisines,Address,Maps_Link,Pincode,latitude,longitude,Reviews,Votes,Rating,Facilities,Company_Phone,Restaurant_Phone,Menu_Links,Menu_Labels,Bestselling_Items,Restaurant_Type
0,Parkash Dhaba,700 ,['North Indian'],GT Road Miller Ganj Near Shani Mandir Central Ludhiana 141003,"https://maps.google.com/?q=30.903451,75.854604",141003,30° 54' 12.4236'' N,75° 51' 16.5744'' E,1 Reviews,6 Votes ,3.3,"['Air Conditioned', 'Home Delivery']",+91 9212340202,0161-4666664,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/z/i/m60394-15655475725d505c3403688.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/g/k/m60394-15655475655d505c2d3a897.jpg?tr=tr:n-xlarge']","['Menu', 'Menu']",0,Casual Dining
0,Burqi - By The Shiraz,"1,100 ","['Chinese', 'North Indian', 'Fast Food']","Hotel Shiraz, Harpal Nagar Ferozepur Road Opposite Govt Girls College Central Ludhiana 141001","https://maps.google.com/?q=30.905397,75.844299",141001,30° 54' 19.4292'' N,75° 50' 39.4764'' E,4 Reviews,13 Votes ,3.6,"['Air Conditioned', 'Lift', 'Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,09115499583,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/d/p/m60301-15661895395d5a27e3ac6c1.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/i/o/m60301-15661895475d5a27eb25c10.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/v/q/m60301-15661895565d5a27f4897cc.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/x/o/m60301-15661895645d5a27fc2716f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/h/l/m60301-15661895715d5a2803ca87d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/q/g/m60301-15661895795d5a280b7ceb1.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/e/k/m60301-15661895865d5a28123874a.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/c/n/m60301-15661895935d5a2819af5cb.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Lahori Seekh Kebab, Mahi Badami, Rugamun Chaman, Murg Makhan, Ice Cream, Angoori Rasmalai.",Casual Dining
0,Chawlas2,800 ,"['Mughlai', 'North Indian', 'Chinese']","974/4-2, BXVII, Police Post Dugri Road Model Town Near State Bank Of India  South Ludhiana 141001","https://maps.google.com/?q=30.889184,75.849546",141001,30° 53' 21.0624'' N,75° 50' 58.3656'' E,0,0,3.9,"['Air Conditioned', 'Home Delivery', 'Wallet Accepted']",+91 9212340202,0161-5051552,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/e/f/m94991-1629267750611ca7267ceea.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/s/o/m94991-1629267757611ca72d1b7bb.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/h/o/m94991-1629268050611ca8524784f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/u/m/m94991-1629268057611ca85987851.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu']","Cream Chicken, Mutton Saagwala, Tomato Soup, Mushroom Tikka, Paneer Tikka, Stuffed Aloo.",QSR
0,Kylin Experience,"2,500 ","['Chinese', 'Thai', 'Japanese', 'Asian']","A' Hotel, 148, Feroze Gandhi Market Road, Gurdev Nagar Near Legal Huts | Best Law Firm | Corporate office, Central Ludhiana 141001","https://maps.google.com/?q=30.902277,75.833903",141001,30° 54' 8.1972'' N,75° 50' 2.0508'' E,7 Reviews,27 Votes ,4.4,"['Air Conditioned', 'Home Delivery', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Roof Top', 'Wallet Accepted']",+91 9212340202,09988680620,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/v/d/m59512-15804754475e34243703e43.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/r/v/m59512-15804754555e34243f75989.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/v/f/m59512-15804754395e34242fb9db0.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/f/o/m59512-15804754635e3424471df3e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/s/n/m59512-15804754715e34244f39b0b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/o/w/m59512-15804754795e34245701ab8.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/k/w/m59512-15804754875e34245f3dc2f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/c/o/m59512-15804754955e3424671113a.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/w/e/m59512-15882273345eaa6d0690dd7.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/s/l/m59512-15882273475eaa6d130f6f2.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/j/z/m59512-15882273575eaa6d1d246ee.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/t/y/m59512-15882273705eaa6d2a4437f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/n/k/m59512-15882273775eaa6d311a8b7.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/k/l/m59512-15882273865eaa6d3a9ff67.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/p/t/m59512-15882273945eaa6d4224258.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/a/r/m59512-15882274015eaa6d49eedbe.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/c/z/m59512-15882301165eaa77e48253b.jpg?tr=tr:n-xlarge']","['Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu']","Classic Chilli Chicken, Chilli Garlic Fish, Kung Pao Chicken, Five Spicy Chicken, Chicken Thai Green Curry, Chicken Hot And Sour Soup.",Casual Dining
0,Indian Summer,"1,900 ","['Chinese', 'North Indian']","368, RK Road Industrial Area Near ICICI Bank  South Ludhiana 141003","https://maps.google.com/?q=30.896166,75.876280",141003,30° 53' 46.1976'' N,75° 52' 34.6080'' E,5 Reviews,33 Votes ,4.4,"['Air Conditioned', 'Wifi', 'Valet Available', 'Home Delivery', 'Serves Alcohol', 'Parking', 'Live Performance', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,09915720014,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/d/x/m5591-15619594835d199c3b7b05b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/j/w/m5591-15619594695d199c2db5bdd.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/b/j/m5591-15619594765d199c34d3775.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/u/u/m5591-15619594905d199c422412b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/v/o/m5591-15619594975d199c4935acf.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/z/j/m5591-15619595045d199c50369cf.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/t/z/m5591-15619595115d199c5733e44.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/o/r/m5591-15619595185d199c5e13f2c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/t/d/m5591-15619595245d199c648c7ee.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/k/e/m5591-15619595315d199c6b778d3.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/f/q/m5591-15619595375d199c71de0fb.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/w/i/m5591-15619595445d199c78c460e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/o/x/m5591-15619595515d199c7f7b217.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/m/q/m5591-15619595585d199c868435f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/k/d/m5591-15619595655d199c8d2af7f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/a/y/m5591-15619595715d199c93db8a4.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/q/f/m5591-15619595815d199c9d601c9.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/x/a/m5591-15619595885d199ca402c53.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/v/i/m5591-15619595945d199caac867b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/u/d/m5591-15619593745d199bcec506d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/w/w/m5591-15619593815d199bd57a75d.jpg?tr=tr:n-xlarge']","['Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Bar Menu', 'Bar Menu']","Paneer Tikka, Murg Tangdi Kebab, Paneer Korma, Murg Korma, Rasmalai, Gulab Jamun.",Casual Dining
0,Barbeque Nation,"2,000 ","['North Indian', 'Chinese']","Boulevard Mall, Plot Number 105, 3rd Floor, Rakh Bagh, The Mall Road Civil Lines Near The Raymond Shop Central Ludhiana 141001","https://maps.google.com/?q=30.906704,75.840232",141001,30° 54' 24.1344'' N,75° 50' 24.8352'' E,0,0,3.3,"['Air Conditioned', 'Serves Alcohol', 'Parking', 'Cards Accepted']",+91 9212340202,08288022581,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/x/h/m102264-166150520063088eb03fdcd.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/u/i/m102264-165486433462a339ced839f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/e/r/m102264-165486434062a339d46fa01.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/m/c/m102264-165486434662a339daa7151.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/r/q/m102264-165486435262a339e0b59a6.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/u/d/m102264-165486435862a339e6985fe.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/v/g/m102264-165486436462a339ecbabf2.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/b/h/m102264-165486437162a339f32c7c9.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/i/m/m102264-165486437662a339f8ea56a.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/f/n/m102264-165486438262a339fec5ab1.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/r/x/m102264-165486438862a33a04dee8c.jpg?tr=tr:n-xlarge']","['Food Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu']",0,Casual Dining
0,Brix,900 ,"['Fast Food', 'Street Food', 'North Indian', 'Chinese']","368, Cheema Chowk, Transport Nagar, RK Road Industrial Area Near HP Petrol Pump South Ludhiana 141003","https://maps.google.com/?q=30.895088,75.878392",141003,30° 53' 42.3168'' N,75° 52' 42.2112'' E,No Reviews,2 Votes ,4.5,"['Air Conditioned', 'Wifi', 'Home Delivery', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,09915720019,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/s/a/m59958-15661889035d5a2567e2c4b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/o/u/m59958-15661889105d5a256eb35e2.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/r/b/m59958-164300705561ee4c4fba969.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/s/q/m59958-164300706161ee4c55cc9e5.jpg?tr=tr:n-xlarge']","['Food Menu', 'Food Menu', 'Bar Menu', 'Bar Menu']","Veggie Burger, Masala Dosa, Paneer Butter Masala, Shalimar Kofta, Chocolate Money Bags, Vanilla Ice Cream.",Casual Dining
0,Subway,500 ,['Fast Food'],"B-19/556, Cemetery Lines Civil Lines Near Fountain Chowk Central Ludhiana 141001","https://maps.google.com/?q=30.913089,75.836568",141001,30° 54' 47.1204'' N,75° 50' 11.6448'' E,0,0,5,"['Air Conditioned', 'Wifi', 'Valet Available', 'Home Delivery', 'Cards Accepted']",+91 9212340202,0161-5047726,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/z/c/m3460-15955071225f1981b21e6bc.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/q/h/m3460-15955071325f1981bc009cb.jpg?tr=tr:n-xlarge']","['Menu', 'Menu']","Paneer Tikka Sub, Aloo Patty Sub, Tandoori Chicken Tikka Sub,  Hara Bhara Kebab Sub, Veg Shammi Kebab Sub, Paneer Tikka Signature Wrap",QSR
0,2Q's,800 ,"['North Indian', 'Chinese']","GT Colony, Clock Tower Road Old Ludhiana Near Gurudwara Khalsa Nirbaisar Sahib Central Ludhiana 141008","https://maps.google.com/?q=30.913852,75.849658",141008,30° 54' 49.8672'' N,75° 50' 58.7688'' E,1 Reviews,1 Votes ,3,"['Air Conditioned', 'Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,0161-2731851,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/w/q/m59325-15657667025d53b42e75342.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/w/b/m59325-15657667075d53b433f13ed.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/j/z/m59325-15657667135d53b43963dc0.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/s/q/m59325-15657667185d53b43e84aaa.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/e/c/m59325-15657667235d53b443a063e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/s/d/m59325-15657667295d53b44925ee8.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/s/c/m59325-15657667345d53b44ea52fa.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/f/e/m59325-15657667405d53b45416f39.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/f/z/m59325-15632740105d2dab1a50a7c.jpg?tr=tr:n-xlarge']","['Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Bar Menu']","Butter Kulcha, Chicken Afghani, Mushroom Masala, Rara Chicken, Tandoori Chicken, Spring Roll.",Casual Dining
0,Biryani By Kilo,700 ,"['Biryani', 'Hyderabadi']","SCO-33, Ground Floor, Feroze Gandhi Market Model Town Near State Bank Of India South Ludhiana 141001","https://maps.google.com/?q=30.901386,75.832212",141001,30° 54' 4.9896'' N,75° 49' 55.9632'' E,11 Reviews,56 Votes ,0,"['Air Conditioned', 'Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,09555212212,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/u/w/m59726-16509694696267cb7d28e87.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/m/n/m59726-16509694756267cb835b5a4.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/m/b/m59726-16509694816267cb89be9f1.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu']","Paneer Nawabi, Firni, Papad Platter, Veg Biryani, Kebabs, Chicken Biryani.",Casual Dining
