,Name,Price_for_two,Cuisines,Address,Maps_Link,Pincode,latitude,longitude,Reviews,Votes,Rating,Facilities,Company_Phone,Restaurant_Phone,Menu_Links,Menu_Labels,Bestselling_Items,Restaurant_Type
0,Moti Mahal Delux Restaurant,900 ,"['North Indian', 'Mughlai', 'Biryani']",Cotton Market Chowk Sitabuldi Near Honey Mobile Central Nagpur 440018,"https://maps.google.com/?q=21.145113,79.089438",440018,21° 8' 42.4068'' N,79° 5' 21.9768'' E,No Reviews,1 Votes ,4.4,"['Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,09922156662,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/x/t/m79163-1616569580605ae4ec3cf3e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/d/s/m79163-1616569586605ae4f2d63c8.jpg?tr=tr:n-xlarge']","['Menu', 'Menu']","Dal Makhani, Chicken Biryani, Chicken Lababdar, Paneer Lababdar, Soya Chaap Roll, Non Veg Guldasta.",Casual Dining
0,Barbeque Nation,"2,000 ","['North Indian', 'Chinese']","Eternity Mall, 2nd Floor, Unit K1, FC 6, Variety Chowk Sitabuldi Near Tulsi Optics Central Nagpur 440012","https://maps.google.com/?q=21.143272,79.080249",440012,21° 8' 35.7792'' N,79° 4' 48.8964'' E,13 Reviews,55 Votes ,4.3,"['Home Delivery', 'Serves Alcohol', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,08035095820,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/y/i/m59031-1661507038630895de06917.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/b/q/m59031-165476176062a1a920504ac.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/v/t/m59031-165476176662a1a9268bfc2.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/c/p/m59031-165476177262a1a92c936cc.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/w/d/m59031-165476177862a1a932876a0.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/m/z/m59031-165476178462a1a9385694e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/t/e/m59031-165485579262a31870786e1.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/d/q/m59031-165485579862a318765fe77.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/h/g/m59031-165485580462a3187cbc514.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/h/f/m59031-165485581062a318825d087.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/d/v/m59031-165485581662a31888c9c34.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/s/a/m59031-165485582262a3188ecd21b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/w/a/m59031-165485582862a31894ce971.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/o/w/m59031-165485583462a3189aa641b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/g/h/m59031-165485584062a318a0507d6.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/c/d/m59031-165485584662a318a667a2c.jpg?tr=tr:n-xlarge']","['Food Menu', 'Beverages Menu', 'Beverages Menu', 'Beverages Menu', 'Beverages Menu', 'Beverages Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu']","Lemon Coriander Fish, Roasted Pineapple, Oreo Kulfi, Drum Sticks, Pan Kulfi, Barbeque Chicken.",Casual Dining
0,Kalpataru,"1,600 ","['North Indian', 'Asian', 'Desserts']","Hotel Hardeo, 2nd Floor, Dr. Munje Marg, Sitabuldi Near Government Industrial Training Institute, Central Nagpur 440012","https://maps.google.com/?q=21.141448,79.085913",440012,21° 8' 29.2128'' N,79° 5' 9.2868'' E,2 Reviews,12 Votes ,3.8,"['Air Conditioned', 'Lift', 'Wifi', 'Home Delivery', 'Parking', 'Cards Accepted', 'Full Bar Available', 'Wallet Accepted']",+91 9212340202,0712-6684888,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/x/i/m58940-16510416246268e558b829b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/y/s/m58940-16510416316268e55f11653.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/d/p/m58940-16510416376268e5654526d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/h/r/m58940-16510416436268e56b3d067.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/c/x/m58940-16510416496268e5714888b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/b/v/m58940-16510416556268e5773209a.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/m/d/m58940-16510416616268e57d6a763.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/q/f/m58940-16510416676268e583b6535.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/k/t/m58940-16510416746268e58a02fcc.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/h/r/m58940-16510416796268e58ff1470.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/o/t/m58940-16510416856268e595cc7f7.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/v/i/m58940-15738924915dcfb18b91ed4.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/n/x/m58940-15738924975dcfb19150246.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/y/p/m58940-15738925095dcfb19d0baa5.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/u/e/m58940-15738925155dcfb1a325273.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/n/v/m58940-15738924855dcfb1852f920.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/k/m/m58940-15738925205dcfb1a8e3748.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/m/i/m58940-15738925275dcfb1af888b9.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/k/b/m58940-15738925335dcfb1b538380.jpg?tr=tr:n-xlarge']","['Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu']","Pudina Paneer Tikka, Subz Galouti Kabab, Subz Lucknowi Chop, Paneer Khurchan, Nawabi Curry, Kadhai Khumb.",Casual Dining
0,Jagat Restaurant,600 ,"['North Indian', 'Chinese', 'Pizza', 'Street Food']","Ground Floor, Wardha Road Sitabuldi Near Indian Oil Petrol Pump Central Nagpur 440012","https://maps.google.com/?q=21.142089,79.080778",440012,21° 8' 31.5204'' N,79° 4' 50.8008'' E,No Reviews,1 Votes ,5,"['Home Delivery', 'Wallet Accepted']",+91 9212340202,0712-2523711,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/f/i/m67190-15719929765db2b59020c31.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/f/i/m67190-15719929835db2b59788a04.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/l/e/m67190-15719929915db2b59fb37c3.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/v/y/m67190-15719929985db2b5a675b5a.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/w/z/m67190-15719930055db2b5add2e4b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/r/m/m67190-15719930135db2b5b5073bb.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/e/t/m67190-15719930205db2b5bcdd407.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/r/g/m67190-15719930285db2b5c47455e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/q/i/m67190-15719930365db2b5cc299e7.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Kadhai Paneer Combo, Sabudana Khichdi, Sabudana Wada, Chola Bhature, Onion Pakoda, Paneer Butter Masala.",Casual Dining
0,Side Walk,"1,900 ","['North Indian', 'Continental', 'Chinese']","Hotel Hardeo, 2nd Floor Sitabuldi Near Royal Gifts Stationery And General Central Nagpur 440012","https://maps.google.com/?q=21.141461,79.085812",440012,21° 8' 29.2596'' N,79° 5' 8.9232'' E,No Reviews,3 Votes ,3.8,"['Air Conditioned', 'Home Delivery', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,08888854536,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/c/z/m58943-15637781055d355c392d1a9.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/y/q/m58943-15637779685d355bb02d346.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/r/s/m58943-15637779735d355bb5d4976.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/p/e/m58943-15637779795d355bbb64408.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/s/y/m58943-15637779845d355bc09ed79.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/s/x/m58943-15637780295d355bed482ac.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/o/x/m58943-15637780355d355bf323f04.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/v/u/m58943-15637780405d355bf85d1dc.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/s/c/m58943-15637780465d355bfe00b28.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/g/u/m58943-15637780515d355c031f4bd.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/b/r/m58943-15637780565d355c086c5b5.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/x/q/m58943-15738919775dcfaf8915b23.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/i/r/m58943-15738919835dcfaf8f5df03.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/q/h/m58943-15738919895dcfaf9556a76.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/t/p/m58943-15738919955dcfaf9b40615.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/s/g/m58943-15738920005dcfafa0f3f54.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/c/r/m58943-15738920065dcfafa6beeb8.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/w/y/m58943-15738920135dcfafad08bf8.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/d/j/m58943-15738920195dcfafb36f7d2.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/c/h/m58943-15738920255dcfafb967aec.jpg?tr=tr:n-xlarge']","['Buffet Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu']","Thai curry veg, Thai curry chicken, Tweety Bird, Non veg Tacos, Fiesta Taco - Chicken, Mex Rice Bowl.",Casual Dining
0,TDS Restro Lounge,"2,100 ","['North Indian', 'Chinese', 'Continental']","Milestone Building, 5th Floor, Wardha Road Ramdaspeth Opposite HP Petrol Pump West Nagpur 440012","https://maps.google.com/?q=21.136718,79.078498",440012,21° 8' 12.1848'' N,79° 4' 42.5928'' E,8 Reviews,22 Votes ,4.2,"['Smoking Area', 'Air Conditioned', 'Valet Available', 'Serves Alcohol', 'Parking', 'Live Performance', 'Cards Accepted', 'Live Screening', 'Wallet Accepted']",+91 9212340202,09225232323,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/w/r/m62435-1653638985629087492193a.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/c/p/m62435-1653638993629087516f715.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/l/u/m62435-165363900162908759a41c9.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/n/r/m62435-165363901062908762aaa81.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/c/y/m62435-16536390186290876a784ea.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/y/m/m62435-165363902762908773c6951.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/s/x/m62435-16536390376290877dc3eda.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/l/a/m62435-165363904762908787496bb.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/e/c/m62435-1653639401629088e9c99b6.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/e/y/m62435-1653639411629088f342d33.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/r/j/m62435-1653639420629088fc898bf.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/p/c/m62435-165363943162908907ad1d0.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/v/q/m62435-1653639442629089123a3d8.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/q/q/m62435-1653639449629089195856e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/z/f/m62435-1653639457629089210af24.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/j/q/m62435-165363946562908929a7c43.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/h/w/m62435-1653639508629089543cd56.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/d/o/m62435-16536395156290895b51b87.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/i/r/m62435-16536395226290896203fad.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/x/a/m62435-16536395296290896939193.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/i/w/m62435-16536395366290897009716.jpg?tr=tr:n-xlarge']","['Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu']","Chicken Ala King, Crispy Garlic Chicken, Drinks, Butter Chicken, Biryani, Deserts.",Nightlife
0,Ice Lounge,"2,000 ",['Fast Food'],"Hotel Hardeo, 12, Ground Floor, Dr. Munje Marg, Humpyard Road Sitabuldi Near Bhide Girls High School & Junior College Central Nagpur 440012","https://maps.google.com/?q=21.141450,79.085913",440012,21° 8' 29.2200'' N,79° 5' 9.2868'' E,1 Reviews,3 Votes ,3.6,"['Smoking Area', 'Air Conditioned', 'Wifi', 'Home Delivery', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,0712-6684888,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/f/r/m58936-15738957945dcfbe7263c02.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/z/y/m58936-15738958005dcfbe78d2c7a.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/t/b/m58936-15738958075dcfbe7f768f4.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/r/s/m58936-15738958145dcfbe861e833.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/g/u/m58936-15612270585d0e6f3272a9e.jpg?tr=tr:n-xlarge']","['Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Bar Menu']","Pudina Paneer Tikka, Tandoori Kumbh, Kalpataru Special, Pakhtuni Paneer, Mawa Jamun, Shahi Tukda.",Nightlife
0,Hotel Brijinn,600 ,"['North Indian', 'Fast Food']","20, St Stand Road Gandhibagh Near Bank Of Baroda  East Nagpur 440018","https://maps.google.com/?q=21.141555,79.096274",440018,21° 8' 29.5980'' N,79° 5' 46.5864'' E,6 Reviews,15 Votes ,4.3,"['Air Conditioned', 'Home Delivery', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,0712-2970777,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/x/w/m59990-15744422715dd8151fbf96e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/d/q/m59990-15744422775dd81525efbfd.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/n/t/m59990-15744422835dd8152be0de0.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/l/g/m59990-15744422905dd8153239b9d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/i/w/m59990-15744422985dd8153a70ad7.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Paneer Chilly, Crispy Veg, Palak Paneer, Lehsuni Palak, Gulab Jamun, Chocolate Brownie.",Casual Dining
0,Robo 2.0,800 ,"['North Indian', 'Chinese']","Eternity Mall, 2nd Floor, Shop No- S2, S3, Variety Square, Sitabuldi Near Sitabuldi Police Station, Central Nagpur 440012","https://maps.google.com/?q=21.143279,79.080345",440012,21° 8' 35.8044'' N,79° 4' 49.2420'' E,10 Reviews,67 Votes ,4.3,"['Air Conditioned', 'Lift', 'Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,07066825222,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/m/y/m69924-15779631095e0dce655097a.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/b/z/m69924-15779631175e0dce6d00c19.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/d/u/m69924-15779631245e0dce74882a9.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/d/p/m69924-15779631325e0dce7c4b63f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/l/z/m69924-15779631395e0dce83de3e5.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/r/z/m69924-15779631475e0dce8b3e6d7.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/d/n/m69924-15779631545e0dce92d42f2.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Paneer Tikka, Paneer Parda, Veg Seekh Kebab, Chicken Tikka, Tandoori Chicken, Paneer Angara Lachedar Paneer, Gulab Jamun.",Casual Dining
0,D9 Restro Lounge,500 ,"['North Indian', 'Mughlai', 'Chinese']","Variety Square, 2nd Floor Sitabuldi Near Ujjwal Sports Central Nagpur 440012","https://maps.google.com/?q=21.143852,79.080259",440012,21° 8' 37.8672'' N,79° 4' 48.9324'' E,2 Reviews,10 Votes ,3.6,"['Home Delivery', 'Live Performance', 'Cards Accepted', 'Full Bar Available', 'Live Screening', 'Wallet Accepted']",+91 9212340202,09637088666,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/o/g/m60252-164372314961f9398d747e0.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/f/p/m60252-164372315561f939935b0a3.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/m/n/m60252-164372316161f9399945d64.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/k/t/m60252-164372316661f9399ed4bea.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/i/w/m60252-164372317261f939a471894.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/b/f/m60252-164372317761f939a988452.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/d/e/m60252-164372318361f939af58374.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/x/i/m60252-164372318861f939b4bb437.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/c/s/m60252-164372319461f939ba1e435.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/i/y/m60252-164372319961f939bf0f1c6.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/g/s/m60252-164372320461f939c411943.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Butter Chicken, Paneer Tikka Masala, Chicken Tandoori, Paneer Combo, Veg Clear Soup, Sweet Corn Soup.",Casual Dining
