,Name,Price_for_two,Cuisines,Address,Maps_Link,Pincode,latitude,longitude,Reviews,Votes,Rating,Facilities,Company_Phone,Restaurant_Phone,Menu_Links,Menu_Labels,Bestselling_Items,Restaurant_Type
0,Hotel Excellency,300 ,"['Gujarati', 'North Indian', 'South Indian']","3rd Bus Stop, Hazira Road, Ambika Nagar Icchapore Near State Bank Of India West Surat 394510","https://maps.google.com/?q=21.191708,72.731959",394510,21° 11' 30.1488'' N,72° 43' 55.0524'' E,No Reviews,1 Votes ,5,"['Home Delivery', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,09979908047,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/c/s/m77695-15844453925e70b7d072fd7.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/b/y/m77695-15844454065e70b7deee462.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/t/b/m77695-15844454215e70b7ed6c50c.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu']",0,Casual Dining
0,Kinaara - The Cafe,800 ,"['Chinese', 'Fast Food', 'Asian', 'Street Food']",Dumas Road Piplod Near Ryan International School South Surat 395007,"https://maps.google.com/?q=21.149999,72.755786",395007,21° 8' 59.9964'' N,72° 45' 20.8296'' E,No Reviews,1 Votes ,4.4,"['Home Delivery', 'Parking', 'Cards Accepted', 'Outdoor Seating', 'Wallet Accepted']",+91 9212340202,09726550033,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/n/k/m70008-165762987262cd6cb0b77bc.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/l/t/m70008-165762988562cd6cbdc8d7c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/h/q/m70008-165762990162cd6ccde3058.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/o/l/m70008-165762992262cd6ce29279e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/p/c/m70008-165762993662cd6cf0995a9.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/y/l/m70008-165762994962cd6cfde3e80.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/w/f/m70008-165762996362cd6d0b5d61d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/r/y/m70008-165762997662cd6d18f2f2d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/x/z/m70008-165763001862cd6d42c9b38.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/d/z/m70008-165763002762cd6d4b434ea.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/p/i/m70008-165763003662cd6d540a489.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/v/l/m70008-165763004462cd6d5c22b2a.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/x/e/m70008-165763012362cd6dab3c62d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/d/g/m70008-165763013762cd6db9399fa.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/l/y/m70008-165763014962cd6dc55c3fc.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/j/y/m70008-165763016062cd6dd0dbda7.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']",0,Cafe
0,Hidden Leaf Village,700 ,"['North Indian', 'Chinese', 'Asian', 'Italian']","Champa Gali, New Magdalla Dumas  South Surat 395007","https://maps.google.com/?q=21.144938,72.755736",395007,21° 8' 41.7768'' N,72° 45' 20.6496'' E,0,0,0,"['Wifi', 'Parking', 'Cards Accepted', 'Outdoor Seating', 'Private Dining Available', 'Wallet Accepted']",+91 9212340202,07984293242,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/v/m/m104239-16464597206222fb485d15b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/n/b/m104239-16464597266222fb4e4a28c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/p/h/m104239-16464597316222fb537aefc.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/d/c/m104239-16464597376222fb5904160.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/p/n/m104239-16464597426222fb5e0b072.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/m/q/m104239-16464597476222fb63e1abf.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/z/z/m104239-16464597536222fb6912fe3.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/e/c/m104239-16464597586222fb6e9075b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/f/c/m104239-16464597636222fb73c5f4c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/z/f/m104239-16464597686222fb78c6d36.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/o/f/m104239-16464597746222fb7e4fff5.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Tandoori Chicken, Chicken Banjara, Methi Tikka, Chicken Chilly, Kadai Chicken, Chicken Handi.",Casual Dining
0,Cafebeats Arena,700 ,"['Fast Food', 'Italian']","33, Velentine Cinema Road, Piplod Dumas Road Piplod Opposite Central Mall South Surat 395007","https://maps.google.com/?q=21.153492,72.760757",395007,21° 9' 12.5712'' N,72° 45' 38.7252'' E,1 Reviews,3 Votes ,4.2,"['Air Conditioned', 'Parking', 'Cards Accepted', 'Outdoor Seating', 'Wallet Accepted']",+91 9212340202,07874565651,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/m/o/m93519-162445385160d332db47e55.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/t/b/m93519-162445386060d332e4b2351.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/i/r/m93519-162445386860d332ec2f1c1.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/p/z/m93519-162445387660d332f411e14.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/r/k/m93519-162445388360d332fbe113d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/c/d/m93519-162445389160d3330396eac.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/m/r/m93519-162445431660d334ac986b8.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/s/v/m93519-162445432460d334b4a9b23.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/s/j/m93519-162445433260d334bc84a29.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Peshawari Paneer Pizza, Veg Stack Lasagne, Malai Paneer with Peri Peri Kulcha, Malai Creamy Breadshot",Casual Dining
0,Pirates Voyage,"1,300 ","['North Indian', 'Asian', 'Italian', 'Beverages']","New Magdalla Road, Piplod Behind Valentine Cinema, South Surat 395007","https://maps.google.com/?q=21.15499,72.76054",395007,21° 9' 17.9640'' N,72° 45' 37.9440'' E,3 Reviews,15 Votes ,4.1,"['Air Conditioned', 'Parking', 'Cards Accepted', 'Outdoor Seating', 'Roof Top', 'Wallet Accepted']",+91 9212340202,07096099933,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/d/c/m59686-165086724262663c2a681d0.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/b/v/m59686-165086723462663c22695c8.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/y/w/m59686-165086710362663b9f2009e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/e/h/m59686-165086711162663ba76c2d1.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/q/g/m59686-165086711862663bae78e85.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/q/t/m59686-165086712562663bb5cc540.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/w/s/m59686-165086713362663bbd824eb.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/o/l/m59686-165086714162663bc5553c4.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/q/e/m59686-165086714862663bcca89e3.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/y/t/m59686-165086715662663bd42e35a.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/h/c/m59686-165086721062663c0a4116c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/t/k/m59686-165086721662663c10990cc.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/y/i/m59686-165086722262663c16ea3af.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/v/w/m59686-165086722862663c1c05981.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']",0,Casual Dining
0,Ziba,"1,300 ","['North Indian', 'Italian', 'Asian']","The Grand Bhagwati Hotel, Magdalla Circle, Surat-Dumas Road Magdalla Near Dattatrey Temple South Surat 395007","https://maps.google.com/?q=21.135974,72.750978",395007,21° 8' 9.5064'' N,72° 45' 3.5208'' E,1 Reviews,2 Votes ,3.3,"['Air Conditioned', 'Home Delivery', 'Cards Accepted', 'Outdoor Seating', 'Wallet Accepted']",+91 9212340202,08980001056,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/l/m/m86514-164398223861fd2d9e96691.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/i/v/m86514-164398224461fd2da4a1910.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/w/r/m86514-164398225061fd2daabf97a.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/s/q/m86514-164398225661fd2db0acae5.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/l/q/m86514-164398226261fd2db688301.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/o/w/m86514-16626427036319ea0f7384f.jpg?tr=tr:n-xlarge']","['Delivery Menu', 'Delivery Menu', 'Delivery Menu', 'Delivery Menu', 'Delivery Menu', 'Food Menu']","Crunchy Veg Crispy, Chilli Potatoes, Palak Paneer, Paneer Kadhai, Gulab Jamun, Moong Dal Halwa.",Casual Dining
0,Pokket Cafe,500 ,"['Fast Food', 'Desserts']","VR Mall, 2nd Floor, Surat dumas road Magdalla Near Meteorological Office South Surat 395007","https://maps.google.com/?q=21.145193,72.757090",395007,21° 8' 42.6948'' N,72° 45' 25.5240'' E,1 Reviews,4 Votes ,4,"['Air Conditioned', 'Lift', 'Home Delivery', 'Parking', 'Cards Accepted', 'Live Screening', 'Wallet Accepted']",+91 9212340202,09824461445,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/s/b/m65677-15717168625dae7efee4ba1.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/v/j/m65677-15717168685dae7f04edad8.jpg?tr=tr:n-xlarge']","['Menu', 'Menu']","Fries tub combo, Garlic Bread Basket, Chocolate Crust Pizza, Margherita Crust Pizza, Red Sauce Pasta, Aloo Tikki Burger.",Cafe
0,Zhingalala,"1,000 ","['North Indian', 'Chinese', 'Asian']","Luxuria Trade Hub, 7, Dumas Road Piplod Near Rundhnath Mahadev Mandir  South Surat 395007","https://maps.google.com/?q=21.147970,72.760269",395007,21° 8' 52.6920'' N,72° 45' 36.9684'' E,18 Reviews,51 Votes ,4.3,"['Air Conditioned', 'Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,0261-2971918,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/m/c/m59348-164378440761fa28d785dff.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/u/m/m59348-164378441661fa28e021664.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/g/z/m59348-164378442461fa28e8d119f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/t/i/m59348-164378443361fa28f1ae9ad.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/l/a/m59348-164378444261fa28fa39a98.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/s/w/m59348-164378445061fa2902cc3ba.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/w/g/m59348-164378445861fa290aea4d4.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/j/e/m59348-164378446761fa2913a67a7.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/s/d/m59348-164378447661fa291c579f8.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/s/s/m59348-164378448561fa292537474.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/x/j/m59348-164378508461fa2b7cbdda4.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Butter Chicken, Palak Shorba, Dal Tadkewali, Kadai Paneer, Multani Roll Chicken, Greek Salad.",Casual Dining
0,Steam,"1,300 ","['North Indian', 'Chinese', 'Italian', 'Mexican']","Valentine Multiplex, 1st Floor, Dumas Road Dumas Near National High Speed Rail South Surat 395007","https://maps.google.com/?q=21.155553,72.764276",395007,21° 9' 19.9908'' N,72° 45' 51.3936'' E,3 Reviews,8 Votes ,4.3,"['Air Conditioned', 'Home Delivery', 'Parking', 'Cards Accepted']",+91 9212340202,08238000707,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/p/k/m59518-1662718062631b106e2aa2d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/b/m/m59518-1662718069631b107516ace.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/b/m/m59518-1662718076631b107c14bb5.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/h/m/m59518-1662718083631b108387dcf.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/o/o/m59518-1662718090631b108a85dc7.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/m/m/m59518-1662718097631b109172c50.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/r/k/m59518-1662718104631b109863383.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/g/x/m59518-1662718136631b10b8e044e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/y/r/m59518-1662718144631b10c0b1243.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/a/u/m59518-1662718152631b10c80e299.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/l/p/m59518-1662718159631b10cf5d63b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/l/l/m59518-1662718167631b10d714686.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/q/q/m59518-1662718174631b10de076c9.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/n/s/m59518-1662718181631b10e54fd3e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/r/y/m59518-1662718238631b111e3a58f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/t/k/m59518-1662718249631b1129c290b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/n/o/m59518-1662718259631b11332e2b5.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/m/o/m59518-1662718270631b113e5091f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/k/r/m59518-1662718280631b1148327bc.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/s/j/m59518-1662718289631b115172d2f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/d/l/m59518-1662718300631b115caf9cc.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/l/b/m59518-1662718329631b11791c0da.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/n/w/m59518-1662718338631b118239591.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/g/t/m59518-1662718347631b118b071f6.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Tandoori Aloo, Tandoori Bharwan Aloo, Diwani Handi, Veg Kadhai, Shahi Patiala, Stuffed Kulcha, Jalebi.",Casual Dining
0,K's Verandah,500 ,"['Fast Food', 'Pizza', 'Asian', 'North Indian']","Swastik Universal, Building-A, Ground floor, Dumas Road Magdalla Near National High Speed Rail Corporation South Surat 395007","https://maps.google.com/?q=21.155544,72.763742",395007,21° 9' 19.9584'' N,72° 45' 49.4712'' E,No Reviews,2 Votes ,0,"['Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,09313524161,['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/a/k/m15990-147326188657d0313e51fa8.png?tr=tr:n-xlarge'],['Menu'],"Cow Boy Nachos, Classic Schezwan Chilli Wok Mock Duck, Paneer In Dark Sichuan Sauce, Paneer In Mongolian Sauce, Dry Fruit Halwa, Ice Cream Scoop.",Cafe
