,Name,Price_for_two,Cuisines,Address,Maps_Link,Pincode,latitude,longitude,Reviews,Votes,Rating,Facilities,Company_Phone,Restaurant_Phone,Menu_Links,Menu_Labels,Bestselling_Items,Restaurant_Type
0,The F3 Bar,"3,000 ",['Finger Food'],"Radisson Hotel, Lake City Mall Ashok Nagar Near Scary House Central Udaipur 313001","https://maps.google.com/?q=24.586044,73.710546",313001,24° 35' 9.7584'' N,73° 42' 37.9656'' E,2 Reviews,9 Votes ,4.4,"['Smoking Area', 'Air Conditioned', 'Cards Accepted', 'Full Bar Available', 'Live Screening', 'Wallet Accepted']",+91 9212340202,0294-6603333,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/g/z/m65098-1661949733630f572553120.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/x/c/m65098-1661949623630f56b7ee1e4.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/h/y/m65098-1661949631630f56bf545f8.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/d/z/m65098-1661949616630f56b0cb2cd.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/k/n/m65098-1661949638630f56c6a3f1a.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/a/x/m65098-1661949646630f56ce120fc.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/u/b/m65098-1661949653630f56d520743.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/m/i/m65098-1661949687630f56f783160.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/s/c/m65098-1661949695630f56ff4bb12.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/a/u/m65098-1661949702630f57067d318.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/a/z/m65098-1661949709630f570dc47cc.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/j/m/m65098-1661949718630f57162afee.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/g/v/m65098-1661949725630f571dcd550.jpg?tr=tr:n-xlarge']","['Night Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu']","Chicken Curry, Kadahi Paneer, Adraki Aloo Gobhi, Dal Makhani, Gulab Jamun, Tea Cakes.","5 Star, Bar"
0,Mr. Sandwich,400 ,['Fast Food'],"Shivam Residency, Shop No 8, Durga Nursery Road Shakti Nagar Near Shiv Mandir Central Udaipur 313001","https://maps.google.com/?q=24.582498,73.709655",313001,24° 34' 56.9928'' N,73° 42' 34.7580'' E,0,0,5,"['Differently Abled Friendly', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,0,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/q/u/m103554-1651151326626a91deb5798.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/x/p/m103554-1651151332626a91e48fed2.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/w/m/m103554-1651151338626a91eabc3ab.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/n/f/m103554-1651151344626a91f085e91.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/w/v/m103554-1651151350626a91f677db7.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/p/n/m103554-1651151321626a91d9098fc.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Shahi Paneer Club, Paneer Loaded Club, Pizza Sendwich, Corn Pizza Sendwich, Perry Perry, Cold Coffee.",QSR
0,Seasons Cafe,"2,500 ","['Continental', 'North Indian', 'Chinese', 'Asian']","Radisson Hotel, Lake City Mall, University Road Ashok Nagar Near HDFC Bank Central Udaipur 313001","https://maps.google.com/?q=24.586043,73.710547",313001,24° 35' 9.7548'' N,73° 42' 37.9692'' E,3 Reviews,16 Votes ,4.3,"['Smoking Area', 'Air Conditioned', 'Wifi', 'Home Delivery', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,0294-6603333,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/g/v/m65103-16059546535fb8ec5db50c4.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/b/z/m65103-16059546655fb8ec698823a.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/i/f/m65103-16059546805fb8ec786f37f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/b/s/m65103-16059546965fb8ec8819727.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/x/r/m65103-16059547125fb8ec986b458.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/y/q/m65103-16059547275fb8eca72c119.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/f/e/m65103-16059547425fb8ecb6c7dfd.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/b/v/m65103-16059548185fb8ed02c6f7e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/i/d/m65103-16059548335fb8ed118fac5.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/p/j/m65103-16059548445fb8ed1c86563.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/y/j/m65103-16059548565fb8ed281b322.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/x/v/m65103-16059548685fb8ed3478f77.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/x/k/m65103-16059548815fb8ed412375f.jpg?tr=tr:n-xlarge']","['Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Food Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu', 'Bar Menu']","Garlic Bread, Aloo Dholakiya, Vegetable Shikhampuri, Murgh Malai Kebab, Vegetable Princess, Paneer Tikka Masala, Chocolate Walnut Brownie, Hot Gulab Jamun.","5 Star, Fine Dining"
0,Level Up Restro,700 ,"['North Indian', 'Chinese']","9, Heera Bagh Colony, 100 Feet Road Pahada Near Shrinath Travels East Udaipur 313001","https://maps.google.com/?q=24.590299,73.713579",313001,24° 35' 25.0764'' N,73° 42' 48.8844'' E,0,0,5,"['Air Conditioned', 'Wifi', 'Cards Accepted', 'Roof Top', 'Wallet Accepted']",+91 9212340202,0,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/x/g/m103574-164344271861f4f21e77122.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/j/m/m103574-164344272761f4f22798afb.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/j/j/m103574-164344273761f4f2313e34a.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu']","Lemon Chicken, Chilly Chicken, Chicken Curry, Chicken Masala, Ice Cream.",QSR
0,Foodgram Cafe,800 ,"['Italian', 'Fast Food', 'Chinese', 'Beverages']","Jai Jinendra Complex, Ground Floor, Shop A, University Road Ayad Rural Near Eye Star Solution Lenovo And Motorola East Udaipur 313001","https://maps.google.com/?q=24.588644,73.713347",313001,24° 35' 19.1184'' N,73° 42' 48.0492'' E,4 Reviews,13 Votes ,4.4,"['Air Conditioned', 'Home Delivery', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,07976779201,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/s/a/m85906-164337562561f3ec0972046.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/c/f/m85906-164337563061f3ec0e1f74f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/q/d/m85906-164337563461f3ec12b334d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/o/k/m85906-164337563961f3ec174d815.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/c/n/m85906-164337564361f3ec1bcd106.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/u/q/m85906-164337564861f3ec2067228.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/c/r/m85906-164337565261f3ec24e7191.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/x/w/m85906-164337565761f3ec29814b0.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/h/j/m85906-164337566261f3ec2e886c3.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/x/e/m85906-164337566761f3ec33889e9.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/d/b/m85906-164337567261f3ec3865c10.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/f/a/m85906-164337567761f3ec3d50607.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Gatta Curry, Rajasthani Kadhi, Aloo Jeera, Veg Kolhapuri, Veg Tawa Sabji, Kadhai Paneer.",Not Mentioned
0,Mathara - The Heights,"1,100 ","['North Indian', 'Italian', 'Rajasthani', 'Mexican', 'Fast Food']","Lakecity Mall, 8th Floor, Durga Nursery Road Shakti Nagar Near Inox Lake City Mall Central Udaipur 313002","https://maps.google.com/?q=24.586065,73.710514",313002,24° 35' 9.8340'' N,73° 42' 37.8504'' E,11 Reviews,40 Votes ,3.5,"['Smoking Area', 'Air Conditioned', 'Wifi', 'Home Delivery', 'Parking', 'Live Performance', 'Cards Accepted', 'Roof Top', 'Live Screening', 'Wallet Accepted']",+91 9212340202,0294-2413071,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/k/l/m65469-166201680863105d28806ed.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/o/m/m65469-166201681563105d2f998a2.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/q/v/m65469-166201708763105e3fcf38e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/d/i/m65469-166201676963105d01a530c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/m/k/m65469-166201677663105d08a9dca.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/d/w/m65469-166201678363105d0f7c307.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/y/g/m65469-166201679263105d1887cb5.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/b/x/m65469-166201680063105d202d33a.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/b/x/m65469-166201696763105dc7b0f7d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/q/a/m65469-166201697563105dcf34e34.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/n/z/m65469-166201698163105dd597245.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/v/d/m65469-166201698863105ddc79233.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/h/l/m65469-166201699563105de381ecd.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/j/z/m65469-166201709563105e47e2c70.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/j/d/m65469-166201710363105e4f22381.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/g/e/m65469-166201711063105e56b71b5.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/i/z/m65469-166201711863105e5e4ab5f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/c/i/m65469-166201712563105e6571f2e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/x/g/m65469-166201713263105e6c7816f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/m/c/m65469-166201717163105e9322589.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/e/s/m65469-166201718163105e9d89496.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/e/f/m65469-166201719163105ea7e7d62.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/r/b/m65469-166201720163105eb17d895.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/r/c/m65469-166201721263105ebcf1790.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/y/y/m65469-166201722263105ec62c121.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/s/a/m65469-166201722963105ecd92968.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/o/g/m65469-166201792263106182ec533.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/j/h/m65469-16620179306310618a4bf4b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/a/v/m65469-166201793863106192b2394.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/e/f/m65469-16620179476310619b19c6f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/o/s/m65469-1662017955631061a3d4f84.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Paneer Angar Bedgi, Rice Kebab, Paneer Angara, Gobi Matar Adraki,  Masala Chaas, Cold Coffee.",Casual Dining
0,London Bubble Co.,300 ,['Desserts'],"Shreyansh Complex, Shop 06, 100 Feet Road Corner Ayad Rural Near State Bank of India East Udaipur 313001","https://maps.google.com/?q=24.588729,73.713346",313001,24° 35' 19.4244'' N,73° 42' 48.0456'' E,5 Reviews,21 Votes ,4.1,"['Home Delivery', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,06377252016,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/c/w/m76389-16143425526038e998e896c.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/t/h/m76389-16143425616038e9a122078.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/d/a/m76389-16143425686038e9a8cbe95.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu']","Biscoff, Coffee Rocher, Nutella, Orange Kitkat, Orange Kitkat, Chip N Dale, Dairy Milk,Bubbled Oreo.",QSR
0,Mathara Rooftop,"1,300 ","['North Indian', 'Chinese', 'Italian', 'Rajasthani']","Lakecity Mall Terrace, Ayad Pulliya, Girwa Ashok Nagar Near Levi's Exclusive Store Central Udaipur 313002","https://maps.google.com/?q=24.586066,73.710514",313002,24° 35' 9.8376'' N,73° 42' 37.8504'' E,0,0,3.2,"['Wifi', 'Home Delivery', 'Live Performance', 'Cards Accepted', 'Roof Top', 'Live Screening', 'Wallet Accepted']",+91 9212340202,0294-9929230924,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/a/p/m67455-1633324063615a8c1f66dc6.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/v/y/m67455-1633324070615a8c26c236d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/i/b/m67455-1633324078615a8c2e2fac2.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/z/o/m67455-1633324484615a8dc479827.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/k/q/m67455-1633324492615a8dcc584ae.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/x/l/m67455-1633324500615a8dd4a01a5.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/c/w/m67455-1633324509615a8ddd451d0.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/e/g/m67455-1633324516615a8de4ca4bf.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Chinese Sizzler, Tomato Dhaniya Shorba, Hot and Sour Manchow Soup, Pasta Salad, Hara Bhara Kebab, Rice Kebab.",Casual Dining
0,Flames Restro & Bar by Raghu Mahal,"1,300 ","['Continental', 'North Indian', 'Chinese']","93, Raghu Mahal, Kumharon Ka Bhatta, Saraswati Marg Central Area Opposite M.B. College Central Udaipur 313001","https://maps.google.com/?q=24.579413,73.712099",313001,24° 34' 45.8868'' N,73° 42' 43.5564'' E,No Reviews,2 Votes ,4.4,"['Air Conditioned', 'Home Delivery', 'Cards Accepted']",+91 9212340202,09649466662,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/h/j/m68098-15707100225d9f2206466cc.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/d/h/m68098-15707100295d9f220dcaac9.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/j/f/m68098-15707100375d9f2215a0a3a.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/r/r/m68098-15707100455d9f221db0b36.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu']",0,Casual Dining
0,Z27 By Cafe Lakecity Rooftop,400 ,['Fast Food'],100 Feet Road Shobhagpura Near Hotel Varju Villa West Udaipur 313001,"https://maps.google.com/?q=24.593636,73.709552",313001,24° 35' 37.0896'' N,73° 42' 34.3872'' E,No Reviews,1 Votes ,5,Not Found,+91 9212340202,0,['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/a/k/m15990-147326188657d0313e51fa8.png?tr=tr:n-xlarge'],['Menu'],0,Casual Dining
