,Name,Price_for_two,Cuisines,Address,Maps_Link,Pincode,latitude,longitude,Reviews,Votes,Rating,Facilities,Company_Phone,Restaurant_Phone,Menu_Links,Menu_Labels,Bestselling_Items,Restaurant_Type
0,The Barbeque Grill,500 ,['North Indian'],"Centre Square Mall, 3rd Floor, Sayaji Path, Alkapuri  Near Genda Circle, Central Vadodara 390023","https://maps.google.com/?q=22.318428,73.169414",390023,22° 19' 6.3408'' N,73° 10' 9.8904'' E,4 Reviews,10 Votes ,4.4,"['Air Conditioned', 'Home Delivery', 'Parking', 'Cards Accepted']",+91 9212340202,07405031996,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/s/e/m66143-15693942725d8b0e605ba3f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/l/h/m66143-15693942775d8b0e65acc23.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/q/p/m66143-15693942835d8b0e6b76e35.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu']","Lemon Coriander Soup, Hara Bhara Kebab, Paneer Chilli Dry,Paneer Kali Mirch, Mixed Vegetable, Mini Gulab Jamun, Eggless Brownie.",Casual Dining
0,Bistro Eleven,"1,200 ","['North Indian', 'Chinese', 'Italian']","Atlantis K10, Shop 9, Alkapuri Near State Bank Of India, Central Vadodara 390007","https://maps.google.com/?q=22.317569,73.168462",390007,22° 19' 3.2484'' N,73° 10' 6.4632'' E,5 Reviews,58 Votes ,0,"['Air Conditioned', 'Lift', 'Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,08141795985,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/t/d/m65020-1637661210619cba1a3acd6.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/t/d/m65020-1637661271619cba57b62ae.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/l/i/m65020-1637661281619cba61cc24b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/w/d/m65020-1637661291619cba6bb7868.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/u/o/m65020-1637661301619cba754e11a.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/b/b/m65020-1637661236619cba34c4cf1.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/s/t/m65020-1637661243619cba3b29fd1.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/j/h/m65020-1637661310619cba7e5a7ba.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/l/s/m65020-1637661319619cba87dabf1.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/m/g/m65020-1637661352619cbaa84e840.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/x/e/m65020-1637661358619cbaaece036.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/s/q/m65020-1637661364619cbab4ee076.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/y/c/m65020-1637661371619cbabb8bade.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/z/o/m65020-1637661377619cbac1a834d.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/t/d/m65020-1637661383619cbac793c9b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/f/s/m65020-1637661230619cba2e41877.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/y/s/m65020-1637661216619cba20b8630.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/b/i/m65020-1637661223619cba276c2aa.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']",0,Casual Dining
0,C And C House Of Coffee And Chocolates,"1,000 ","['Desserts', 'Beverages', 'Fast Food', 'Mexican']","Chandralok Apartment, 31, Nutan Bharat Society, Dr Rustom Cama Marg Alkapuri Near Shree Maruti Courier Service Pvt. Ltd Central Vadodara 390005","https://maps.google.com/?q=22.314863,73.170764",390005,22° 18' 53.5068'' N,73° 10' 14.7504'' E,0,0,0,"['Air Conditioned', 'Home Delivery', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,07874669475,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/g/f/m100906-1637840387619f760317243.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/m/n/m100906-1637840394619f760a0f314.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/t/d/m100906-1637840400619f76104d05f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/n/f/m100906-1637840406619f761687f84.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/g/v/m100906-1637840412619f761cd031f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/v/m/m100906-1637840418619f7622d7525.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/g/v/m100906-1637840425619f762954bce.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/q/m/m100906-1637840431619f762f6e23f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/l/w/m100906-1637840437619f76358de34.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/y/d/m100906-1637840532619f76947cab7.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/u/c/m100906-1637840538619f769ad22fd.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/k/f/m100906-1637840545619f76a14bbcb.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/j/t/m100906-1637840551619f76a788ffc.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/v/i/m100906-1637840598619f76d654671.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/j/z/m100906-1637840583619f76c7610ab.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/k/k/m100906-1637840590619f76cee4790.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/d/c/m100906-1637840606619f76de11c25.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/w/n/m100906-1637840613619f76e5bc6f8.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/i/w/m100906-1637840621619f76ed9b9f6.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/s/f/m100906-1637840628619f76f430d8e.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/p/p/m100906-1637840635619f76fb40779.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/x/w/m100906-1637840642619f77029b518.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","French Fries, Cheesy Nachos, Arrabbiata Pasta, Pizza Al Pesto, Chocolaty Pancake, Swiss Sundae.",Cafe
0,The Honeyed Tale,"1,000 ","['Fast Food', 'Italian', 'Continental']","Atlantis K 10 Mall, 28, Ground Floor, Sayaji Path Alkapuri Near State Bank Of India Central Vadodara 390007","https://maps.google.com/?q=22.316618,73.167868",390007,22° 18' 59.8248'' N,73° 10' 4.3248'' E,1 Reviews,12 Votes ,0,"['Air Conditioned', 'Lift', 'Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,08141288032,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/i/a/m65171-15686302135d7f65c571ca9.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/j/u/m65171-15686302185d7f65cacd1fd.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/i/m/m65171-15686302245d7f65d06ce04.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/e/q/m65171-15686302305d7f65d62dd25.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/x/f/m65171-15686302355d7f65db8c7db.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/b/t/m65171-15686302415d7f65e1947bb.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/l/j/m65171-15686302475d7f65e78bbde.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/k/m/m65171-15686302535d7f65eda0eb1.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']",0,Cafe
0,Kaphi Pibama,600 ,"['Beverages', 'Fast Food']","Nutan Bharat Society, 18-A,  Dr Rustom Cama Marg Alkapuri Near T.I.M.E. Institute Central Vadodara 390023","https://maps.google.com/?q=22.316659,73.171139",390023,22° 18' 59.9724'' N,73° 10' 16.1004'' E,3 Reviews,8 Votes ,4.1,"['Air Conditioned', 'Cards Accepted']",+91 9212340202,08128548880,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/g/e/m66806-15694759845d8c4d901b0c8.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/y/l/m66806-15694759895d8c4d95cd805.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/q/u/m66806-15694759955d8c4d9b67675.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/q/u/m66806-15694760015d8c4da197b92.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/d/f/m66806-15694760095d8c4da968686.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/y/x/m66806-15694760145d8c4daee2b5a.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/x/u/m66806-15694760205d8c4db4269f9.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Aloo Chilli Dry, Veg Manchurian Dry, Manchurian Garlic Gravy, Paneer Chilli Gravy, Veg Hong Kong Rice, Cheese Chilli Corn Sandwich, Brownie With Vanilla Ice Cream, Brownie Crust With Vanilla Ice Cream.",Cafe
0,Tea Post - Apne Chai Ki Dukaan,300 ,"['Beverages', 'Fast Food']","Alembic Arcade, Shop 2, Alembic Gorwa Road Gorwa Opposite Pragati Bank West Vadodara 390027","https://maps.google.com/?q=22.324901,73.165191",390027,22° 19' 29.6436'' N,73° 9' 54.6876'' E,No Reviews,2 Votes ,5,"['Air Conditioned', 'Home Delivery', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,07046886070,['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/t/t/m68565-1650273414625d2c863fbe7.jpg?tr=tr:n-xlarge'],['Menu'],"Ginger Pudina Chai, Cold Coffee, Ginger Elaichi Tea, Jam Butter Sandwich, Cheese Butter Sandwich, Bread Butter Sandwich.",QSR
0,Italian Affair,"1,100 ","['Italian', 'Pizza', 'Beverages']","Arun Complex, Ground Floor, Alkapuri Behind R Narayan Jewellers, Central Vadodara 390007","https://maps.google.com/?q=22.312688,73.170734",390007,22° 18' 45.6768'' N,73° 10' 14.6424'' E,0,0,5,"['Air Conditioned', 'Home Delivery', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,09714502548,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/l/l/m106726-165639811262baa12051922.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/v/j/m106726-165639811862baa126d7cae.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/k/j/m106726-165639812562baa12d79d66.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/x/h/m106726-165639813162baa133eef90.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/k/d/m106726-165639813862baa13a7fa32.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/f/q/m106726-165639814462baa140ed9e6.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/e/r/m106726-165639815162baa147f2e5b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/l/c/m106726-165639817162baa15b2b9ce.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/h/o/m106726-165639817762baa1611a1d8.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/h/k/m106726-165639818362baa1676c288.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/y/v/m106726-165639818962baa16d64c80.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/w/r/m106726-165639819662baa1744d6ef.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/u/a/m106726-165639820262baa17ad3eb0.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/s/r/m106726-165639820962baa18132076.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/w/l/m106726-165639821562baa1873e5b2.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']",0,Casual Dining
0,Mirch Masala,"1,300 ",['North Indian'],"Inorbit Mall, 9/10, 2nd Floor Subhanpura Near Gujarat Ecology Society  Central Vadodara 390023","https://maps.google.com/?q=22.322104,73.165414",390023,22° 19' 19.5744'' N,73° 9' 55.4904'' E,No Reviews,1 Votes ,4.3,"['Air Conditioned', 'Home Delivery', 'Cards Accepted']",+91 9212340202,08347469100,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/r/g/m78499-15826093025e54b396e7bd3.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/k/o/m78499-15826093095e54b39d5f86d.jpg?tr=tr:n-xlarge']","['Menu', 'Menu']","Amritsari Paneer Tikka, Shikari Murgh, Paneer Adraki, Murgh Mirch Masala, Kesar Jalebi, Gulab Jamun.",Not Mentioned
0,Fiorella,"1,500 ","['Italian', 'Pizza', 'Desserts']","Hotel Express Residency, 18/19, Alkapuri Society, Dr. Rustom Cama Marg Alkapuri Near Kotak Mahindra Bank Central Vadodara 390007","https://maps.google.com/?q=22.312297,73.172028",390007,22° 18' 44.2692'' N,73° 10' 19.3008'' E,No Reviews,1 Votes ,5,"['Air Conditioned', 'Home Delivery', 'Parking', 'Cards Accepted']",+91 9212340202,0265-6139000,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/q/e/m65096-16194202986086648a095af.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/c/g/m65096-16194203046086649060a96.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/i/y/m65096-16194203106086649687504.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/l/i/m65096-16194203166086649c8a5a2.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/q/l/m65096-1619420322608664a2cce40.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/k/a/m65096-1619420329608664a9630f6.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/e/l/m65096-1619420335608664af427f4.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/t/b/m65096-1619420340608664b4ea84f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/b/k/m65096-1619420347608664bb03ccd.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/e/h/m65096-1619420353608664c12e8bd.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Risotto Di Pollo Affumicato, Pizza Capricciosa, Insalata Di Verdura Alla Griglia, Pane Con Aglio, Pizza Meal for 1 Person, Pizza Quattro Formaggi.",Casual Dining
0,Tyagi's Eatery,600 ,['Fast Food'],"Shagun Exotica, 1/2, R.C. Dutt Road Alkapuri Near Axis Bank Central Vadodara 390005","https://maps.google.com/?q=22.313590,73.173139",390005,22° 18' 48.9240'' N,73° 10' 23.3004'' E,0,0,4.3,"['Air Conditioned', 'Home Delivery', 'Cards Accepted', 'Wallet Accepted']",+91 9212340202,08866327043,"['https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/m/k/m94405-16494124596250096bc1a38.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/n/v/m94405-16494124766250097c3cb0f.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/z/d/m94405-16494124946250098eb8e3b.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/c/a/m94405-1649412517625009a55e208.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/g/z/m94405-1649412540625009bc133a0.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/n/o/m94405-1649412582625009e662cb0.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/z/e/m94405-164941266162500a3516851.jpg?tr=tr:n-xlarge', 'https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/i/r/m94405-164941268562500a4d2c78d.jpg?tr=tr:n-xlarge']","['Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu', 'Menu']","Bbq Paneer Pizza, Mexican Nachos, Pineapple Sandwich, Tandoori Paneer Pizza, Mint Hot Chocolate, Vanilla.",Cafe
